[rosmaster.main][INFO] 2017-06-05 17:35:41,570: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 17:35:41,571: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 17:35:41,575: XML-RPC server binding to 0.0.0.0:52855
[xmlrpc][INFO] 2017-06-05 17:35:41,579: Started XML-RPC server [http://ip-172-31-19-100:52855/]
[rosmaster.master][INFO] 2017-06-05 17:35:41,579: Master initialized: port[52855], uri[http://ip-172-31-19-100:52855/]
[xmlrpc][INFO] 2017-06-05 17:35:41,582: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 17:35:41,656: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:35:41,665: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51844] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:35:41,759: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:35:41,763: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:35:41,794: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:51438/
[rosmaster.master][INFO] 2017-06-05 17:35:41,798: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:51438/
[rosmaster.master][INFO] 2017-06-05 17:35:41,804: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:51438/
[rosmaster.master][INFO] 2017-06-05 17:35:41,815: +SUB [/rosout] /rosout http://ip-172-31-19-100:51438/
[rosmaster.master][INFO] 2017-06-05 17:35:42,166: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,171: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,175: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,175: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51438/
[rosmaster.master][INFO] 2017-06-05 17:35:42,184: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,192: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,197: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,201: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,205: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,209: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:48134/
[rosmaster.master][INFO] 2017-06-05 17:35:42,220: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:48134/
