[rosmaster.main][INFO] 2017-06-05 17:14:23,263: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 17:14:23,264: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 17:14:23,268: XML-RPC server binding to 0.0.0.0:37890
[xmlrpc][INFO] 2017-06-05 17:14:23,272: Started XML-RPC server [http://ip-172-31-19-100:37890/]
[rosmaster.master][INFO] 2017-06-05 17:14:23,272: Master initialized: port[37890], uri[http://ip-172-31-19-100:37890/]
[xmlrpc][INFO] 2017-06-05 17:14:23,277: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 17:14:23,358: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:14:23,366: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45774] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:14:23,456: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:14:23,460: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:14:23,481: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:54049/
[rosmaster.master][INFO] 2017-06-05 17:14:23,486: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:54049/
[rosmaster.master][INFO] 2017-06-05 17:14:23,492: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:54049/
[rosmaster.master][INFO] 2017-06-05 17:14:23,500: +SUB [/rosout] /rosout http://ip-172-31-19-100:54049/
[rosmaster.master][INFO] 2017-06-05 17:14:23,860: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,864: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,868: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,868: publisherUpdate[/rosout] -> http://ip-172-31-19-100:54049/
[rosmaster.master][INFO] 2017-06-05 17:14:23,877: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,884: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,888: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,894: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,898: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:38130/
[rosmaster.master][INFO] 2017-06-05 17:14:23,902: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:38130/
