[rosmaster.main][INFO] 2017-06-08 22:13:26,546: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-08 22:13:26,546: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-08 22:13:26,551: XML-RPC server binding to 0.0.0.0:40944
[xmlrpc][INFO] 2017-06-08 22:13:26,554: Started XML-RPC server [http://ip-172-31-19-100:40944/]
[rosmaster.master][INFO] 2017-06-08 22:13:26,554: Master initialized: port[40944], uri[http://ip-172-31-19-100:40944/]
[xmlrpc][INFO] 2017-06-08 22:13:26,558: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-08 22:13:26,644: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:26,652: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__54033] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:26,737: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:26,740: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:26,767: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:26,772: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:26,778: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:26,787: +SUB [/rosout] /rosout http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:27,179: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,184: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,188: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,196: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,203: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,209: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,213: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,218: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,222: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,235: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,242: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:38984/
[rosmaster.master][INFO] 2017-06-08 22:13:27,252: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:28,600: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47306] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,607: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,610: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,619: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,625: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,634: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,637: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,641: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,644: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:28,648: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-08 22:13:29,152: +PUB [/rosout] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,155: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:29,166: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,175: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,180: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,185: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,190: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,195: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,200: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,205: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,210: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,214: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,218: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,222: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,227: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,231: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,236: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,240: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,244: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,248: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,253: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:60058/
[rosmaster.master][INFO] 2017-06-08 22:13:29,256: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42346/
[rosmaster.master][INFO] 2017-06-08 22:13:29,257: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:33299/
[rosmaster.master][INFO] 2017-06-08 22:13:29,270: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:60058/
