[rosmaster.main][INFO] 2017-06-05 19:04:11,678: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 19:04:11,678: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 19:04:11,683: XML-RPC server binding to 0.0.0.0:54643
[xmlrpc][INFO] 2017-06-05 19:04:11,687: Started XML-RPC server [http://ip-172-31-19-100:54643/]
[rosmaster.master][INFO] 2017-06-05 19:04:11,687: Master initialized: port[54643], uri[http://ip-172-31-19-100:54643/]
[xmlrpc][INFO] 2017-06-05 19:04:11,690: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 19:04:11,774: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:04:11,782: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__58058] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:04:11,876: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:04:11,879: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:04:11,896: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:60620/
[rosmaster.master][INFO] 2017-06-05 19:04:11,900: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:60620/
[rosmaster.master][INFO] 2017-06-05 19:04:11,906: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:60620/
[rosmaster.master][INFO] 2017-06-05 19:04:11,916: +SUB [/rosout] /rosout http://ip-172-31-19-100:60620/
[rosmaster.master][INFO] 2017-06-05 19:04:12,239: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:42925/
[rosmaster.master][INFO] 2017-06-05 19:04:12,244: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:42925/
[rosmaster.master][INFO] 2017-06-05 19:04:12,248: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:42925/
[rosmaster.master][INFO] 2017-06-05 19:04:12,256: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:42925/
[rosmaster.master][INFO] 2017-06-05 19:04:12,270: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:42925/
