[rosmaster.main][INFO] 2017-06-05 19:19:00,675: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 19:19:00,675: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 19:19:00,680: XML-RPC server binding to 0.0.0.0:43106
[xmlrpc][INFO] 2017-06-05 19:19:00,684: Started XML-RPC server [http://ip-172-31-19-100:43106/]
[rosmaster.master][INFO] 2017-06-05 19:19:00,684: Master initialized: port[43106], uri[http://ip-172-31-19-100:43106/]
[xmlrpc][INFO] 2017-06-05 19:19:00,687: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 19:19:00,763: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:19:00,772: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__34459] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:19:00,866: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:19:00,869: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 19:19:00,885: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:56719/
[rosmaster.master][INFO] 2017-06-05 19:19:00,890: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:56719/
[rosmaster.master][INFO] 2017-06-05 19:19:00,896: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:56719/
[rosmaster.master][INFO] 2017-06-05 19:19:00,905: +SUB [/rosout] /rosout http://ip-172-31-19-100:56719/
[rosmaster.master][INFO] 2017-06-05 19:19:01,237: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,241: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,245: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,261: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,268: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,273: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,277: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:46901/
[rosmaster.master][INFO] 2017-06-05 19:19:01,280: publisherUpdate[/rosout] -> http://ip-172-31-19-100:56719/
[rosmaster.master][INFO] 2017-06-05 19:19:01,282: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:46901/
