[rosmaster.main][INFO] 2017-06-05 18:59:25,044: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 18:59:25,044: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 18:59:25,050: XML-RPC server binding to 0.0.0.0:56640
[xmlrpc][INFO] 2017-06-05 18:59:25,054: Started XML-RPC server [http://ip-172-31-26-229:56640/]
[rosmaster.master][INFO] 2017-06-05 18:59:25,054: Master initialized: port[56640], uri[http://ip-172-31-26-229:56640/]
[xmlrpc][INFO] 2017-06-05 18:59:25,057: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 18:59:25,147: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 18:59:25,156: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__40711] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 18:59:25,244: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 18:59:25,248: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 18:59:25,271: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:47066/
[rosmaster.master][INFO] 2017-06-05 18:59:25,275: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:47066/
[rosmaster.master][INFO] 2017-06-05 18:59:25,281: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:47066/
[rosmaster.master][INFO] 2017-06-05 18:59:25,290: +SUB [/rosout] /rosout http://ip-172-31-26-229:47066/
[rosmaster.master][INFO] 2017-06-05 18:59:25,659: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,664: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,668: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,676: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,682: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,686: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,690: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,694: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,698: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,707: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,713: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:53617/
[rosmaster.master][INFO] 2017-06-05 18:59:25,751: publisherUpdate[/rosout] -> http://ip-172-31-26-229:47066/
