[rosmaster.main][INFO] 2017-06-05 17:20:01,292: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-05 17:20:01,292: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-05 17:20:01,297: XML-RPC server binding to 0.0.0.0:46002
[xmlrpc][INFO] 2017-06-05 17:20:01,300: Started XML-RPC server [http://ip-172-31-26-229:46002/]
[rosmaster.master][INFO] 2017-06-05 17:20:01,300: Master initialized: port[46002], uri[http://ip-172-31-26-229:46002/]
[xmlrpc][INFO] 2017-06-05 17:20:01,304: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-05 17:20:01,408: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:20:01,415: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__34164] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:20:01,501: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:20:01,504: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-05 17:20:01,530: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:47746/
[rosmaster.master][INFO] 2017-06-05 17:20:01,534: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:47746/
[rosmaster.master][INFO] 2017-06-05 17:20:01,548: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:47746/
[rosmaster.master][INFO] 2017-06-05 17:20:01,591: +SUB [/rosout] /rosout http://ip-172-31-26-229:47746/
[rosmaster.master][INFO] 2017-06-05 17:20:01,924: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:43000/
[rosmaster.master][INFO] 2017-06-05 17:20:01,932: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:43000/
[rosmaster.master][INFO] 2017-06-05 17:20:01,936: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:43000/
