[rosmaster.main][INFO] 2017-06-10 18:55:20,594: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 18:55:20,594: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 18:55:20,599: XML-RPC server binding to 0.0.0.0:39387
[xmlrpc][INFO] 2017-06-10 18:55:20,603: Started XML-RPC server [http://ip-172-31-19-100:39387/]
[rosmaster.master][INFO] 2017-06-10 18:55:20,603: Master initialized: port[39387], uri[http://ip-172-31-19-100:39387/]
[xmlrpc][INFO] 2017-06-10 18:55:20,614: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 18:55:20,675: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:20,683: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51330] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:20,783: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:20,786: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:20,816: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:44826/
[rosmaster.master][INFO] 2017-06-10 18:55:20,820: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:44826/
[rosmaster.master][INFO] 2017-06-10 18:55:20,827: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:44826/
[rosmaster.master][INFO] 2017-06-10 18:55:20,835: +SUB [/rosout] /rosout http://ip-172-31-19-100:44826/
[rosmaster.master][INFO] 2017-06-10 18:55:21,123: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,127: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,131: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,140: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,147: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,151: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,156: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,160: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:46441/
[rosmaster.master][INFO] 2017-06-10 18:55:21,164: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:46441/
