[rosmaster.main][INFO] 2017-06-10 00:54:37,089: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:54:37,089: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:54:37,094: XML-RPC server binding to 0.0.0.0:50885
[xmlrpc][INFO] 2017-06-10 00:54:37,097: Started XML-RPC server [http://ip-172-31-26-229:50885/]
[rosmaster.master][INFO] 2017-06-10 00:54:37,098: Master initialized: port[50885], uri[http://ip-172-31-26-229:50885/]
[xmlrpc][INFO] 2017-06-10 00:54:37,101: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:54:37,186: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:37,193: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__39224] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:37,282: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:37,291: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:37,314: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:37,319: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:37,325: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:37,333: +SUB [/rosout] /rosout http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:37,643: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,647: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,651: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,659: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,666: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,671: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,675: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,679: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,683: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,694: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:37,694: publisherUpdate[/rosout] -> http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:37,704: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:54923/
[rosmaster.master][INFO] 2017-06-10 00:54:39,136: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__44556] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,144: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,148: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,151: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,154: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,158: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,162: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,165: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,169: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,172: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:54:39,734: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,740: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,746: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,751: +PUB [/rosout] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,756: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,765: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,771: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,775: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,780: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,784: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,787: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,792: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,796: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,798: publisherUpdate[/rosout] -> http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:39,800: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,804: publisherUpdate[/rosout] -> http://ip-172-31-26-229:41136/
[rosmaster.master][INFO] 2017-06-10 00:54:39,808: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,815: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,820: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,824: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,829: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,833: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,838: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,843: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,846: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:48691/
[rosmaster.master][INFO] 2017-06-10 00:54:39,850: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,855: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,859: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,864: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,869: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:52991/
[rosmaster.master][INFO] 2017-06-10 00:54:39,879: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-26-229:52991/
