[rosmaster.main][INFO] 2017-06-10 00:33:10,513: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:33:10,513: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:33:10,518: XML-RPC server binding to 0.0.0.0:42265
[xmlrpc][INFO] 2017-06-10 00:33:10,521: Started XML-RPC server [http://ip-172-31-26-229:42265/]
[rosmaster.master][INFO] 2017-06-10 00:33:10,521: Master initialized: port[42265], uri[http://ip-172-31-26-229:42265/]
[xmlrpc][INFO] 2017-06-10 00:33:10,525: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:33:10,611: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:33:10,619: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__37380] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:33:10,710: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:33:10,714: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:33:10,733: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:40729/
[rosmaster.master][INFO] 2017-06-10 00:33:10,741: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:40729/
[rosmaster.master][INFO] 2017-06-10 00:33:10,747: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:40729/
[rosmaster.master][INFO] 2017-06-10 00:33:10,764: +SUB [/rosout] /rosout http://ip-172-31-26-229:40729/
[rosmaster.master][INFO] 2017-06-10 00:33:11,086: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,091: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,095: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,104: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,112: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,117: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,118: publisherUpdate[/rosout] -> http://ip-172-31-26-229:40729/
[rosmaster.master][INFO] 2017-06-10 00:33:11,121: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,128: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:46067/
[rosmaster.master][INFO] 2017-06-10 00:33:11,133: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:46067/
