[rosmaster.main][INFO] 2017-06-10 20:14:32,362: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:14:32,363: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:14:32,368: XML-RPC server binding to 0.0.0.0:55910
[xmlrpc][INFO] 2017-06-10 20:14:32,371: Started XML-RPC server [http://ip-172-31-26-229:55910/]
[rosmaster.master][INFO] 2017-06-10 20:14:32,372: Master initialized: port[55910], uri[http://ip-172-31-26-229:55910/]
[xmlrpc][INFO] 2017-06-10 20:14:32,375: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:14:32,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:14:32,476: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__57763] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:14:32,571: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:48882/
[rosmaster.master][INFO] 2017-06-10 20:14:32,572: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:14:32,575: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:48882/
[rosmaster.master][INFO] 2017-06-10 20:14:32,578: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:14:32,584: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:48882/
[rosmaster.master][INFO] 2017-06-10 20:14:32,594: +SUB [/rosout] /rosout http://ip-172-31-26-229:48882/
[rosmaster.master][INFO] 2017-06-10 20:14:32,866: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,868: publisherUpdate[/rosout] -> http://ip-172-31-26-229:48882/
[rosmaster.master][INFO] 2017-06-10 20:14:32,870: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,878: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,885: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,892: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,896: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,900: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,904: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,908: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,917: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:47246/
[rosmaster.master][INFO] 2017-06-10 20:14:32,924: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:47246/
