[rosmaster.main][INFO] 2017-06-10 19:53:08,117: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 19:53:08,117: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 19:53:08,128: XML-RPC server binding to 0.0.0.0:55681
[xmlrpc][INFO] 2017-06-10 19:53:08,131: Started XML-RPC server [http://ip-172-31-26-229:55681/]
[rosmaster.master][INFO] 2017-06-10 19:53:08,132: Master initialized: port[55681], uri[http://ip-172-31-26-229:55681/]
[xmlrpc][INFO] 2017-06-10 19:53:08,135: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 19:53:08,219: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:08,227: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__34892] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:08,315: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:08,318: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:08,342: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:08,346: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:08,352: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:08,360: +SUB [/rosout] /rosout http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:08,659: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,665: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,669: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,677: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,684: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,688: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,692: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,696: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,700: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,709: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,718: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:39224/
[rosmaster.master][INFO] 2017-06-10 19:53:08,728: publisherUpdate[/rosout] -> http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:10,141: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__45472] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,151: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,154: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,158: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,166: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,170: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,173: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,177: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,180: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,184: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:10,657: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,664: +PUB [/rosout] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,668: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,672: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,678: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,682: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,685: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,689: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,693: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,698: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,702: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,706: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,711: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,715: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,719: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,724: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,727: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,732: publisherUpdate[/rosout] -> http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:10,734: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,739: publisherUpdate[/rosout] -> http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:10,742: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,750: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,755: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,759: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,764: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,769: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,773: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,777: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,781: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:38254/
[rosmaster.master][INFO] 2017-06-10 19:53:10,785: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,789: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,794: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,798: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,809: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,814: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,818: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,822: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,827: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-26-229:48575/
[rosmaster.master][INFO] 2017-06-10 19:53:10,833: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-26-229:34243/
[rosmaster.master][INFO] 2017-06-10 19:53:10,833: publisherUpdate[/rosout] -> http://ip-172-31-26-229:38748/
[rosmaster.master][INFO] 2017-06-10 19:53:10,846: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-26-229:34243/
[rosmaster.master][INFO] 2017-06-10 19:53:10,851: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-26-229:34243/
[rosmaster.master][INFO] 2017-06-10 19:53:12,235: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__33879] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,251: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,254: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,258: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,261: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,265: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,268: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,271: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,275: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,278: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,282: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,286: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,289: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,292: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,296: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,299: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,303: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,306: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,309: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,313: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,316: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,319: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,323: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:53:12,326: +PARAM [/robot_description_planning/joint_limits/lwr_arm_4_joint/max_acceleration] by /roslaunch
