[rosmaster.main][INFO] 2017-06-10 18:55:56,236: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 18:55:56,236: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 18:55:56,241: XML-RPC server binding to 0.0.0.0:45015
[xmlrpc][INFO] 2017-06-10 18:55:56,245: Started XML-RPC server [http://ip-172-31-19-100:45015/]
[rosmaster.master][INFO] 2017-06-10 18:55:56,245: Master initialized: port[45015], uri[http://ip-172-31-19-100:45015/]
[xmlrpc][INFO] 2017-06-10 18:55:56,248: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 18:55:56,317: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:56,325: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51615] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:56,425: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:56,428: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:56,458: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:56,462: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:56,468: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:56,477: +SUB [/rosout] /rosout http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:56,758: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,763: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,767: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,776: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,784: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,788: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,793: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,797: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,801: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,811: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,819: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:60127/
[rosmaster.master][INFO] 2017-06-10 18:55:56,841: publisherUpdate[/rosout] -> http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:58,276: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44188] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,283: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,286: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,290: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,293: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,297: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,300: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,304: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,307: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,311: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:55:58,843: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,845: publisherUpdate[/rosout] -> http://ip-172-31-19-100:34997/
[rosmaster.master][INFO] 2017-06-10 18:55:58,848: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,855: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,868: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,876: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,885: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,893: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,906: +PUB [/rosout] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,912: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,920: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:41495/
[rosmaster.master][INFO] 2017-06-10 18:55:58,924: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,929: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,935: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,939: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,945: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:43270/
[rosmaster.master][INFO] 2017-06-10 18:55:58,946: publisherUpdate[/rosout] -> http://ip-172-31-19-100:34997/
