[rosmaster.main][INFO] 2017-06-10 00:48:48,340: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:48:48,340: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:48:48,344: XML-RPC server binding to 0.0.0.0:59149
[xmlrpc][INFO] 2017-06-10 00:48:48,348: Started XML-RPC server [http://ip-172-31-26-229:59149/]
[rosmaster.master][INFO] 2017-06-10 00:48:48,348: Master initialized: port[59149], uri[http://ip-172-31-26-229:59149/]
[xmlrpc][INFO] 2017-06-10 00:48:48,351: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:48:48,445: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:48:48,453: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__51082] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:48:48,543: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:34781/
[rosmaster.master][INFO] 2017-06-10 00:48:48,559: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:48:48,560: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:34781/
[rosmaster.master][INFO] 2017-06-10 00:48:48,563: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:48:48,569: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:34781/
[rosmaster.master][INFO] 2017-06-10 00:48:48,579: +SUB [/rosout] /rosout http://ip-172-31-26-229:34781/
[rosmaster.master][INFO] 2017-06-10 00:48:48,901: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,905: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,911: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,919: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,926: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,931: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,935: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,939: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,943: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,945: publisherUpdate[/rosout] -> http://ip-172-31-26-229:34781/
[rosmaster.master][INFO] 2017-06-10 00:48:48,952: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:48,963: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:44118/
[rosmaster.master][INFO] 2017-06-10 00:48:50,359: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__57102] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:48:50,366: +PARAM [/rosbridge_websocket/port] by /roslaunch
