[rosmaster.main][INFO] 2017-06-09 15:51:57,460: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 15:51:57,461: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 15:51:57,465: XML-RPC server binding to 0.0.0.0:41193
[xmlrpc][INFO] 2017-06-09 15:51:57,469: Started XML-RPC server [http://ip-172-31-26-229:41193/]
[rosmaster.master][INFO] 2017-06-09 15:51:57,469: Master initialized: port[41193], uri[http://ip-172-31-26-229:41193/]
[xmlrpc][INFO] 2017-06-09 15:51:57,472: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 15:51:57,560: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 15:51:57,568: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__53838] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 15:51:57,659: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 15:51:57,663: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 15:51:57,689: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:42302/
[rosmaster.master][INFO] 2017-06-09 15:51:57,697: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:42302/
[rosmaster.master][INFO] 2017-06-09 15:51:57,703: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:42302/
[rosmaster.master][INFO] 2017-06-09 15:51:57,711: +SUB [/rosout] /rosout http://ip-172-31-26-229:42302/
[rosmaster.master][INFO] 2017-06-09 15:51:58,076: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,081: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,085: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,092: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,099: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,103: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,110: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,114: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,118: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:60239/
[rosmaster.master][INFO] 2017-06-09 15:51:58,126: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:60239/
