[rosmaster.main][INFO] 2017-06-10 19:04:04,488: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 19:04:04,488: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 19:04:04,492: XML-RPC server binding to 0.0.0.0:54283
[xmlrpc][INFO] 2017-06-10 19:04:04,496: Started XML-RPC server [http://ip-172-31-19-100:54283/]
[rosmaster.master][INFO] 2017-06-10 19:04:04,496: Master initialized: port[54283], uri[http://ip-172-31-19-100:54283/]
[xmlrpc][INFO] 2017-06-10 19:04:04,499: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 19:04:04,579: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:04,587: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__52405] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:04,681: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:04,685: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:04,713: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:56129/
[rosmaster.master][INFO] 2017-06-10 19:04:04,718: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:56129/
[rosmaster.master][INFO] 2017-06-10 19:04:04,724: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:56129/
[rosmaster.master][INFO] 2017-06-10 19:04:04,732: +SUB [/rosout] /rosout http://ip-172-31-19-100:56129/
[rosmaster.master][INFO] 2017-06-10 19:04:05,018: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,023: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,028: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,036: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,043: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,048: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,052: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,057: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,061: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,071: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,079: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:38000/
[rosmaster.master][INFO] 2017-06-10 19:04:05,093: publisherUpdate[/rosout] -> http://ip-172-31-19-100:56129/
[rosmaster.master][INFO] 2017-06-10 19:04:06,501: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__46632] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,508: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,512: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,516: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,520: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,524: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,527: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,531: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,535: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:06,538: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 19:04:07,186: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:39799/
[rosmaster.master][INFO] 2017-06-10 19:04:07,191: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:39799/
[rosmaster.master][INFO] 2017-06-10 19:04:07,196: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:39799/
[rosmaster.master][INFO] 2017-06-10 19:04:07,197: publisherUpdate[/rosout] -> http://ip-172-31-19-100:56129/
