[rosmaster.main][INFO] 2017-06-09 18:00:52,882: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:00:52,882: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:00:52,887: XML-RPC server binding to 0.0.0.0:52701
[xmlrpc][INFO] 2017-06-09 18:00:52,891: Started XML-RPC server [http://ip-172-31-19-100:52701/]
[rosmaster.master][INFO] 2017-06-09 18:00:52,891: Master initialized: port[52701], uri[http://ip-172-31-19-100:52701/]
[xmlrpc][INFO] 2017-06-09 18:00:52,894: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:00:52,970: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:52,979: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__39650] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:53,071: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:53,075: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:53,096: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:41306/
[rosmaster.master][INFO] 2017-06-09 18:00:53,101: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:41306/
[rosmaster.master][INFO] 2017-06-09 18:00:53,108: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:41306/
[rosmaster.master][INFO] 2017-06-09 18:00:53,117: +SUB [/rosout] /rosout http://ip-172-31-19-100:41306/
[rosmaster.master][INFO] 2017-06-09 18:00:53,455: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,460: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,464: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,474: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,482: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,486: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,487: publisherUpdate[/rosout] -> http://ip-172-31-19-100:41306/
[rosmaster.master][INFO] 2017-06-09 18:00:53,491: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,498: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,502: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,511: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:53,524: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:57062/
[rosmaster.master][INFO] 2017-06-09 18:00:54,894: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47034] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,903: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,906: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,910: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,913: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,917: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,920: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,924: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,927: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:54,931: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:00:55,478: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:43482/
