[rosmaster.main][INFO] 2017-06-10 23:14:39,773: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 23:14:39,773: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 23:14:39,777: XML-RPC server binding to 0.0.0.0:55108
[xmlrpc][INFO] 2017-06-10 23:14:39,781: Started XML-RPC server [http://ip-172-31-26-229:55108/]
[rosmaster.master][INFO] 2017-06-10 23:14:39,781: Master initialized: port[55108], uri[http://ip-172-31-26-229:55108/]
[xmlrpc][INFO] 2017-06-10 23:14:39,784: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 23:14:39,870: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:39,879: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__36362] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:39,968: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:39,972: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:39,985: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:39,990: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:39,996: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:40,005: +SUB [/rosout] /rosout http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:40,278: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,283: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,287: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,295: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,302: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,306: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,310: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,314: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,318: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,327: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,334: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:51486/
[rosmaster.master][INFO] 2017-06-10 23:14:40,378: publisherUpdate[/rosout] -> http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:41,771: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__49188] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,777: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,781: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,784: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,788: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,791: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,795: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,798: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,801: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:41,805: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:14:42,295: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,299: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,304: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,313: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,320: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,329: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,338: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,347: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,351: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:40371/
[rosmaster.master][INFO] 2017-06-10 23:14:42,370: +PUB [/rosout] /rosapi http://ip-172-31-26-229:51287/
[rosmaster.master][INFO] 2017-06-10 23:14:42,381: publisherUpdate[/rosout] -> http://ip-172-31-26-229:39757/
[rosmaster.master][INFO] 2017-06-10 23:14:42,384: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:51287/
