[rosmaster.main][INFO] 2017-06-09 18:29:36,771: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:29:36,771: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:29:36,776: XML-RPC server binding to 0.0.0.0:37332
[xmlrpc][INFO] 2017-06-09 18:29:36,779: Started XML-RPC server [http://ip-172-31-19-100:37332/]
[rosmaster.master][INFO] 2017-06-09 18:29:36,780: Master initialized: port[37332], uri[http://ip-172-31-19-100:37332/]
[xmlrpc][INFO] 2017-06-09 18:29:36,783: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:29:36,858: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:36,866: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__41260] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:36,965: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:36,969: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:36,997: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:42781/
[rosmaster.master][INFO] 2017-06-09 18:29:37,001: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:42781/
[rosmaster.master][INFO] 2017-06-09 18:29:37,008: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:42781/
[rosmaster.master][INFO] 2017-06-09 18:29:37,017: +SUB [/rosout] /rosout http://ip-172-31-19-100:42781/
[rosmaster.master][INFO] 2017-06-09 18:29:37,356: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,361: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,373: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,377: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42781/
[rosmaster.master][INFO] 2017-06-09 18:29:37,382: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,391: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,395: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,399: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,404: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,408: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,417: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:37,426: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:57464/
[rosmaster.master][INFO] 2017-06-09 18:29:38,822: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35094] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,830: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,833: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,837: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,840: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,845: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:29:38,848: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
