[rosmaster.main][INFO] 2017-06-10 22:46:22,210: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 22:46:22,210: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 22:46:22,214: XML-RPC server binding to 0.0.0.0:53824
[xmlrpc][INFO] 2017-06-10 22:46:22,218: Started XML-RPC server [http://ip-172-31-19-100:53824/]
[rosmaster.master][INFO] 2017-06-10 22:46:22,218: Master initialized: port[53824], uri[http://ip-172-31-19-100:53824/]
[xmlrpc][INFO] 2017-06-10 22:46:22,223: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 22:46:22,298: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:22,307: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__50722] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:22,401: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:22,405: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:22,438: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:22,442: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:22,448: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:22,459: +SUB [/rosout] /rosout http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:22,705: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,709: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,714: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,715: publisherUpdate[/rosout] -> http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:22,722: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,730: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,734: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,738: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,742: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,746: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,756: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:22,765: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:35180/
[rosmaster.master][INFO] 2017-06-10 22:46:24,213: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__58832] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,221: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,225: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,229: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,236: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,240: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,243: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,246: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,250: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,255: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:24,768: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,775: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,781: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,792: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,801: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,810: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,819: publisherUpdate[/rosout] -> http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:24,820: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,845: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,854: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,895: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:33761/
[rosmaster.master][INFO] 2017-06-10 22:46:24,929: +PUB [/rosout] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,932: publisherUpdate[/rosout] -> http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:24,951: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,955: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,960: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,965: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,970: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,975: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,980: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,987: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,991: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:24,998: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,002: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,008: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,013: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,019: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,023: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,027: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,031: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,036: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,040: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,045: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,049: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,053: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,058: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,063: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,069: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:48072/
[rosmaster.master][INFO] 2017-06-10 22:46:25,133: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:43510/
[rosmaster.master][INFO] 2017-06-10 22:46:25,135: publisherUpdate[/rosout] -> http://ip-172-31-19-100:54713/
[rosmaster.master][INFO] 2017-06-10 22:46:25,150: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:43510/
[rosmaster.master][INFO] 2017-06-10 22:46:25,154: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:43510/
[rosmaster.master][INFO] 2017-06-10 22:46:26,859: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__54947] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,874: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,884: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,888: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,892: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,896: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,899: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,902: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,906: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,909: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,914: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,918: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,923: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,927: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,930: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,934: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,938: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:46:26,942: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
