[rosmaster.main][INFO] 2017-06-10 20:59:01,346: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:59:01,346: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:59:01,355: XML-RPC server binding to 0.0.0.0:35983
[xmlrpc][INFO] 2017-06-10 20:59:01,360: Started XML-RPC server [http://ip-172-31-19-100:35983/]
[xmlrpc][INFO] 2017-06-10 20:59:01,364: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:59:01,361: Master initialized: port[35983], uri[http://ip-172-31-19-100:35983/]
[rosmaster.master][INFO] 2017-06-10 20:59:01,427: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:01,435: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__53195] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:01,530: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:01,534: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:01,563: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:53061/
[rosmaster.master][INFO] 2017-06-10 20:59:01,568: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:53061/
[rosmaster.master][INFO] 2017-06-10 20:59:01,574: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:53061/
[rosmaster.master][INFO] 2017-06-10 20:59:01,584: +SUB [/rosout] /rosout http://ip-172-31-19-100:53061/
[rosmaster.master][INFO] 2017-06-10 20:59:01,842: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,847: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,851: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,855: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53061/
[rosmaster.master][INFO] 2017-06-10 20:59:01,859: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,867: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,871: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,875: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,879: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,884: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,899: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:01,907: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:54359/
[rosmaster.master][INFO] 2017-06-10 20:59:03,326: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60044] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,333: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,337: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,340: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,343: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,347: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,351: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,354: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,358: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:03,361: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:59:04,049: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:42277/
