[rosmaster.main][INFO] 2017-06-10 22:39:19,979: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 22:39:19,980: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 22:39:19,984: XML-RPC server binding to 0.0.0.0:37293
[xmlrpc][INFO] 2017-06-10 22:39:19,988: Started XML-RPC server [http://ip-172-31-26-229:37293/]
[rosmaster.master][INFO] 2017-06-10 22:39:19,988: Master initialized: port[37293], uri[http://ip-172-31-26-229:37293/]
[xmlrpc][INFO] 2017-06-10 22:39:19,991: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 22:39:20,077: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:39:20,085: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__46430] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:39:20,185: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:39:20,189: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:39:20,215: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:32907/
[rosmaster.master][INFO] 2017-06-10 22:39:20,219: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:32907/
[rosmaster.master][INFO] 2017-06-10 22:39:20,225: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:32907/
[rosmaster.master][INFO] 2017-06-10 22:39:20,233: +SUB [/rosout] /rosout http://ip-172-31-26-229:32907/
[rosmaster.master][INFO] 2017-06-10 22:39:20,491: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,495: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,499: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,508: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,514: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,519: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:56835/
[rosmaster.master][INFO] 2017-06-10 22:39:20,523: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:56835/
