[rosmaster.main][INFO] 2017-06-10 20:44:48,791: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:44:48,792: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:44:48,796: XML-RPC server binding to 0.0.0.0:54259
[xmlrpc][INFO] 2017-06-10 20:44:48,799: Started XML-RPC server [http://ip-172-31-19-100:54259/]
[rosmaster.master][INFO] 2017-06-10 20:44:48,800: Master initialized: port[54259], uri[http://ip-172-31-19-100:54259/]
[xmlrpc][INFO] 2017-06-10 20:44:48,804: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:44:48,851: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:48,862: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43315] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:48,963: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:48,966: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:48,998: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:49,002: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:49,008: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:49,018: +SUB [/rosout] /rosout http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:49,232: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,237: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,241: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,250: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,258: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,268: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,273: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,277: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,281: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,293: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:49,296: publisherUpdate[/rosout] -> http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:49,305: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:39655/
[rosmaster.master][INFO] 2017-06-10 20:44:50,743: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43260] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,751: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,755: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,758: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,761: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,765: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,768: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,772: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,775: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:50,779: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:44:51,422: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,427: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,432: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,443: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,454: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,466: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,475: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,485: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,492: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,500: publisherUpdate[/rosout] -> http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:51,515: +PUB [/rosout] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,517: publisherUpdate[/rosout] -> http://ip-172-31-19-100:46265/
[rosmaster.master][INFO] 2017-06-10 20:44:51,531: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:49541/
[rosmaster.master][INFO] 2017-06-10 20:44:51,535: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,542: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,547: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,552: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,557: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,563: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,567: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,574: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,579: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,584: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,591: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,596: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,602: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,609: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:37683/
[rosmaster.master][INFO] 2017-06-10 20:44:51,616: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:37683/
