[rosmaster.main][INFO] 2017-06-10 15:37:04,105: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 15:37:04,105: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 15:37:04,110: XML-RPC server binding to 0.0.0.0:44614
[xmlrpc][INFO] 2017-06-10 15:37:04,113: Started XML-RPC server [http://ip-172-31-19-100:44614/]
[rosmaster.master][INFO] 2017-06-10 15:37:04,114: Master initialized: port[44614], uri[http://ip-172-31-19-100:44614/]
[xmlrpc][INFO] 2017-06-10 15:37:04,117: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 15:37:04,185: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:37:04,193: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__50901] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:37:04,301: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:37:04,305: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:37:04,324: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37664/
[rosmaster.master][INFO] 2017-06-10 15:37:04,328: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37664/
[rosmaster.master][INFO] 2017-06-10 15:37:04,335: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37664/
[rosmaster.master][INFO] 2017-06-10 15:37:04,344: +SUB [/rosout] /rosout http://ip-172-31-19-100:37664/
[rosmaster.master][INFO] 2017-06-10 15:37:04,594: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:59145/
[rosmaster.master][INFO] 2017-06-10 15:37:04,599: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:59145/
[rosmaster.master][INFO] 2017-06-10 15:37:04,603: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:59145/
[rosmaster.master][INFO] 2017-06-10 15:37:04,610: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37664/
