[rosmaster.main][INFO] 2017-06-10 00:35:11,073: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:35:11,073: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:35:11,077: XML-RPC server binding to 0.0.0.0:33315
[xmlrpc][INFO] 2017-06-10 00:35:11,081: Started XML-RPC server [http://ip-172-31-19-100:33315/]
[rosmaster.master][INFO] 2017-06-10 00:35:11,081: Master initialized: port[33315], uri[http://ip-172-31-19-100:33315/]
[xmlrpc][INFO] 2017-06-10 00:35:11,084: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:35:11,175: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:11,183: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__55771] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:11,265: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:11,268: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:11,296: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:11,300: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:11,306: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:11,315: +SUB [/rosout] /rosout http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:11,681: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,686: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,690: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,699: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,705: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,709: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,713: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,717: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,721: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,730: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,737: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:57033/
[rosmaster.master][INFO] 2017-06-10 00:35:11,778: publisherUpdate[/rosout] -> http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:13,115: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__42762] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,121: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,125: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,128: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,132: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,135: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,138: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,142: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,145: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,148: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:35:13,628: +PUB [/rosout] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,642: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,646: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,651: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,656: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,661: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,665: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,670: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,675: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,679: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,682: publisherUpdate[/rosout] -> http://ip-172-31-19-100:58357/
[rosmaster.master][INFO] 2017-06-10 00:35:13,684: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,692: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,696: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,700: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,705: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,710: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,715: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,720: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,725: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:52494/
[rosmaster.master][INFO] 2017-06-10 00:35:13,729: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:57818/
[rosmaster.master][INFO] 2017-06-10 00:35:13,732: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:52494/
[rosmaster.master][INFO] 2017-06-10 00:35:13,736: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:57818/
