[rosmaster.main][INFO] 2017-06-09 18:30:08,206: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:30:08,207: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:30:08,211: XML-RPC server binding to 0.0.0.0:55471
[xmlrpc][INFO] 2017-06-09 18:30:08,216: Started XML-RPC server [http://ip-172-31-26-229:55471/]
[rosmaster.master][INFO] 2017-06-09 18:30:08,216: Master initialized: port[55471], uri[http://ip-172-31-26-229:55471/]
[xmlrpc][INFO] 2017-06-09 18:30:08,219: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:30:08,295: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:30:08,303: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__38404] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:30:08,396: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:30:08,400: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:30:08,429: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:35435/
[rosmaster.master][INFO] 2017-06-09 18:30:08,433: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:35435/
[rosmaster.master][INFO] 2017-06-09 18:30:08,439: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:35435/
[rosmaster.master][INFO] 2017-06-09 18:30:08,451: +SUB [/rosout] /rosout http://ip-172-31-26-229:35435/
[rosmaster.master][INFO] 2017-06-09 18:30:08,770: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:56235/
[rosmaster.master][INFO] 2017-06-09 18:30:08,774: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:56235/
[rosmaster.master][INFO] 2017-06-09 18:30:08,778: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:56235/
[rosmaster.master][INFO] 2017-06-09 18:30:08,787: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:56235/
[rosmaster.master][INFO] 2017-06-09 18:30:08,795: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:56235/
