[rosmaster.main][INFO] 2017-06-09 18:37:21,640: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:37:21,640: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:37:21,645: XML-RPC server binding to 0.0.0.0:42174
[xmlrpc][INFO] 2017-06-09 18:37:21,648: Started XML-RPC server [http://ip-172-31-26-229:42174/]
[rosmaster.master][INFO] 2017-06-09 18:37:21,649: Master initialized: port[42174], uri[http://ip-172-31-26-229:42174/]
[xmlrpc][INFO] 2017-06-09 18:37:21,652: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:37:21,734: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:21,742: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__46127] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:21,835: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:21,838: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:21,869: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:33040/
[rosmaster.master][INFO] 2017-06-09 18:37:21,873: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:33040/
[rosmaster.master][INFO] 2017-06-09 18:37:21,879: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:33040/
[rosmaster.master][INFO] 2017-06-09 18:37:21,888: +SUB [/rosout] /rosout http://ip-172-31-26-229:33040/
[rosmaster.master][INFO] 2017-06-09 18:37:22,207: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,212: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,216: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,224: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,231: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,235: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,239: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,243: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,245: publisherUpdate[/rosout] -> http://ip-172-31-26-229:33040/
[rosmaster.master][INFO] 2017-06-09 18:37:22,253: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,266: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:22,274: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:52353/
[rosmaster.master][INFO] 2017-06-09 18:37:23,629: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__54678] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:23,636: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:23,640: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:23,643: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:37:23,647: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
