[rosmaster.main][INFO] 2017-06-10 01:04:29,520: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:04:29,520: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:04:29,524: XML-RPC server binding to 0.0.0.0:59209
[xmlrpc][INFO] 2017-06-10 01:04:29,528: Started XML-RPC server [http://ip-172-31-26-229:59209/]
[rosmaster.master][INFO] 2017-06-10 01:04:29,528: Master initialized: port[59209], uri[http://ip-172-31-26-229:59209/]
[xmlrpc][INFO] 2017-06-10 01:04:29,531: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:04:29,610: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:04:29,618: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__35861] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:04:29,705: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:04:29,709: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:04:29,739: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:45277/
[rosmaster.master][INFO] 2017-06-10 01:04:29,743: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:45277/
[rosmaster.master][INFO] 2017-06-10 01:04:29,749: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:45277/
[rosmaster.master][INFO] 2017-06-10 01:04:29,760: +SUB [/rosout] /rosout http://ip-172-31-26-229:45277/
[rosmaster.master][INFO] 2017-06-10 01:04:30,099: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:34592/
[rosmaster.master][INFO] 2017-06-10 01:04:30,103: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:34592/
[rosmaster.master][INFO] 2017-06-10 01:04:30,108: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:34592/
