[rosmaster.main][INFO] 2017-06-10 01:40:17,469: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:40:17,469: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:40:17,473: XML-RPC server binding to 0.0.0.0:60818
[xmlrpc][INFO] 2017-06-10 01:40:17,477: Started XML-RPC server [http://ip-172-31-19-100:60818/]
[rosmaster.master][INFO] 2017-06-10 01:40:17,477: Master initialized: port[60818], uri[http://ip-172-31-19-100:60818/]
[xmlrpc][INFO] 2017-06-10 01:40:17,480: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:40:17,571: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:40:17,578: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__55797] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:40:17,665: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:40:17,668: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:40:17,697: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:48931/
[rosmaster.master][INFO] 2017-06-10 01:40:17,701: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:48931/
[rosmaster.master][INFO] 2017-06-10 01:40:17,707: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:48931/
[rosmaster.master][INFO] 2017-06-10 01:40:17,715: +SUB [/rosout] /rosout http://ip-172-31-19-100:48931/
[rosmaster.master][INFO] 2017-06-10 01:40:17,890: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:51628/
[rosmaster.master][INFO] 2017-06-10 01:40:17,894: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:51628/
[rosmaster.master][INFO] 2017-06-10 01:40:17,898: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:51628/
[rosmaster.master][INFO] 2017-06-10 01:40:17,905: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:51628/
[rosmaster.master][INFO] 2017-06-10 01:40:17,912: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:51628/
[rosmaster.master][INFO] 2017-06-10 01:40:17,916: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:51628/
