[rosmaster.main][INFO] 2017-06-10 18:58:21,471: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 18:58:21,471: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 18:58:21,475: XML-RPC server binding to 0.0.0.0:53261
[xmlrpc][INFO] 2017-06-10 18:58:21,479: Started XML-RPC server [http://ip-172-31-26-229:53261/]
[xmlrpc][INFO] 2017-06-10 18:58:21,482: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 18:58:21,479: Master initialized: port[53261], uri[http://ip-172-31-26-229:53261/]
[rosmaster.master][INFO] 2017-06-10 18:58:21,544: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:58:21,552: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__57700] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:58:21,669: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:58:21,674: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 18:58:21,690: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:55147/
[rosmaster.master][INFO] 2017-06-10 18:58:21,694: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:55147/
[rosmaster.master][INFO] 2017-06-10 18:58:21,701: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:55147/
[rosmaster.master][INFO] 2017-06-10 18:58:21,711: +SUB [/rosout] /rosout http://ip-172-31-26-229:55147/
[rosmaster.master][INFO] 2017-06-10 18:58:21,952: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,959: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,963: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,973: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,976: publisherUpdate[/rosout] -> http://ip-172-31-26-229:55147/
[rosmaster.master][INFO] 2017-06-10 18:58:21,982: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,988: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:35838/
[rosmaster.master][INFO] 2017-06-10 18:58:21,992: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:35838/
