[rosmaster.main][INFO] 2017-06-10 14:33:35,774: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 14:33:35,774: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 14:33:35,779: XML-RPC server binding to 0.0.0.0:54190
[xmlrpc][INFO] 2017-06-10 14:33:35,783: Started XML-RPC server [http://ip-172-31-19-100:54190/]
[rosmaster.master][INFO] 2017-06-10 14:33:35,783: Master initialized: port[54190], uri[http://ip-172-31-19-100:54190/]
[xmlrpc][INFO] 2017-06-10 14:33:35,787: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 14:33:35,861: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:35,870: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37702] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:35,969: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:35,972: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:35,998: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:36,002: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:36,008: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:36,018: +SUB [/rosout] /rosout http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:36,282: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,286: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,290: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,298: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,306: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,310: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,315: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,319: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,323: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,337: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,345: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:32909/
[rosmaster.master][INFO] 2017-06-10 14:33:36,379: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:37,748: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45968] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,755: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,759: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,763: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,766: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,769: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,773: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,776: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,779: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:37,783: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 14:33:38,336: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,341: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,348: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,358: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,367: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,371: +PUB [/rosout] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,378: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,383: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:38,386: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,389: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37260/
[rosmaster.master][INFO] 2017-06-10 14:33:38,392: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,401: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,405: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,409: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,414: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,417: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,422: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,427: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,434: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,439: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,443: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,454: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:32865/
[rosmaster.master][INFO] 2017-06-10 14:33:38,458: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,463: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,467: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,472: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,478: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:38713/
[rosmaster.master][INFO] 2017-06-10 14:33:38,482: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:38713/
