[rosmaster.main][INFO] 2017-06-10 15:30:58,987: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 15:30:58,987: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 15:30:58,991: XML-RPC server binding to 0.0.0.0:44448
[rosmaster.master][INFO] 2017-06-10 15:30:58,995: Master initialized: port[44448], uri[http://ip-172-31-26-229:44448/]
[xmlrpc][INFO] 2017-06-10 15:30:58,994: Started XML-RPC server [http://ip-172-31-26-229:44448/]
[xmlrpc][INFO] 2017-06-10 15:30:59,009: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 15:30:59,087: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:30:59,095: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__50763] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:30:59,196: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:30:59,198: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:30:59,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:30:59,204: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:30:59,214: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:30:59,223: +SUB [/rosout] /rosout http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:30:59,495: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,499: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,503: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,512: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,519: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,524: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,527: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,532: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,536: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,545: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,554: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:52691/
[rosmaster.master][INFO] 2017-06-10 15:30:59,592: publisherUpdate[/rosout] -> http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:31:00,991: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__46167] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:00,998: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,001: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,005: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,009: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,012: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,016: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,020: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,024: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,027: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:31:01,540: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,545: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,550: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,559: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,568: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,577: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,588: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,596: publisherUpdate[/rosout] -> http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:31:01,602: +PUB [/rosout] /rosapi http://ip-172-31-26-229:54965/
[rosmaster.master][INFO] 2017-06-10 15:31:01,605: publisherUpdate[/rosout] -> http://ip-172-31-26-229:59384/
[rosmaster.master][INFO] 2017-06-10 15:31:01,610: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:37763/
[rosmaster.master][INFO] 2017-06-10 15:31:01,621: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:37763/
