[rosmaster.main][INFO] 2017-06-10 20:03:02,480: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:03:02,480: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:03:02,486: XML-RPC server binding to 0.0.0.0:39881
[xmlrpc][INFO] 2017-06-10 20:03:02,490: Started XML-RPC server [http://ip-172-31-26-229:39881/]
[rosmaster.master][INFO] 2017-06-10 20:03:02,490: Master initialized: port[39881], uri[http://ip-172-31-26-229:39881/]
[xmlrpc][INFO] 2017-06-10 20:03:02,493: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:03:02,585: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:03:02,593: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__37107] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:03:02,688: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:42521/
[rosmaster.master][INFO] 2017-06-10 20:03:02,693: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:42521/
[rosmaster.master][INFO] 2017-06-10 20:03:02,694: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:03:02,700: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:42521/
[rosmaster.master][INFO] 2017-06-10 20:03:02,700: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:03:02,710: +SUB [/rosout] /rosout http://ip-172-31-26-229:42521/
[rosmaster.master][INFO] 2017-06-10 20:03:03,008: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:45493/
[rosmaster.master][INFO] 2017-06-10 20:03:03,016: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:45493/
[rosmaster.master][INFO] 2017-06-10 20:03:03,020: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:45493/
[rosmaster.master][INFO] 2017-06-10 20:03:03,028: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:45493/
[rosmaster.master][INFO] 2017-06-10 20:03:03,036: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:45493/
