[rosmaster.main][INFO] 2017-06-10 02:09:28,421: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 02:09:28,421: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 02:09:28,428: XML-RPC server binding to 0.0.0.0:55289
[xmlrpc][INFO] 2017-06-10 02:09:28,432: Started XML-RPC server [http://ip-172-31-26-229:55289/]
[rosmaster.master][INFO] 2017-06-10 02:09:28,432: Master initialized: port[55289], uri[http://ip-172-31-26-229:55289/]
[xmlrpc][INFO] 2017-06-10 02:09:28,435: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 02:09:28,514: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:09:28,522: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__58524] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:09:28,618: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:09:28,621: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:09:28,649: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:46275/
[rosmaster.master][INFO] 2017-06-10 02:09:28,653: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:46275/
[rosmaster.master][INFO] 2017-06-10 02:09:28,659: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:46275/
[rosmaster.master][INFO] 2017-06-10 02:09:28,668: +SUB [/rosout] /rosout http://ip-172-31-26-229:46275/
[rosmaster.master][INFO] 2017-06-10 02:09:29,005: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,010: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,014: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,022: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,029: publisherUpdate[/rosout] -> http://ip-172-31-26-229:46275/
[rosmaster.master][INFO] 2017-06-10 02:09:29,029: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,037: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,041: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,045: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,049: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,057: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:54145/
[rosmaster.master][INFO] 2017-06-10 02:09:29,064: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:54145/
