[rosmaster.main][INFO] 2017-06-10 00:50:46,782: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:50:46,782: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:50:46,786: XML-RPC server binding to 0.0.0.0:35711
[xmlrpc][INFO] 2017-06-10 00:50:46,790: Started XML-RPC server [http://ip-172-31-19-100:35711/]
[rosmaster.master][INFO] 2017-06-10 00:50:46,790: Master initialized: port[35711], uri[http://ip-172-31-19-100:35711/]
[xmlrpc][INFO] 2017-06-10 00:50:46,793: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:50:46,888: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:46,896: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60848] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:46,985: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:46,989: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:47,017: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:47,021: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:47,027: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:47,035: +SUB [/rosout] /rosout http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:47,372: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,376: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,381: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,387: publisherUpdate[/rosout] -> http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:47,388: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,398: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,402: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,406: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,410: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,414: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,423: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:47,429: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:45099/
[rosmaster.master][INFO] 2017-06-10 00:50:48,795: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__59338] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,801: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,805: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,808: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,812: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,815: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,818: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,822: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,825: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:48,829: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:50:49,299: +PUB [/rosout] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,300: publisherUpdate[/rosout] -> http://ip-172-31-19-100:38936/
[rosmaster.master][INFO] 2017-06-10 00:50:49,313: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,318: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,323: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,328: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,332: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,337: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,341: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:41207/
[rosmaster.master][INFO] 2017-06-10 00:50:49,346: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:41207/
