[rosmaster.main][INFO] 2017-06-10 15:16:57,318: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 15:16:57,318: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 15:16:57,322: XML-RPC server binding to 0.0.0.0:38867
[xmlrpc][INFO] 2017-06-10 15:16:57,326: Started XML-RPC server [http://ip-172-31-19-100:38867/]
[rosmaster.master][INFO] 2017-06-10 15:16:57,326: Master initialized: port[38867], uri[http://ip-172-31-19-100:38867/]
[xmlrpc][INFO] 2017-06-10 15:16:57,330: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 15:16:57,411: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:16:57,420: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__33286] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:16:57,518: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:16:57,521: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:16:57,552: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:39457/
[rosmaster.master][INFO] 2017-06-10 15:16:57,557: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:39457/
[rosmaster.master][INFO] 2017-06-10 15:16:57,563: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:39457/
[rosmaster.master][INFO] 2017-06-10 15:16:57,572: +SUB [/rosout] /rosout http://ip-172-31-19-100:39457/
[rosmaster.master][INFO] 2017-06-10 15:16:57,848: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,853: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,857: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,866: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,874: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,879: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,884: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,888: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,892: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:33910/
[rosmaster.master][INFO] 2017-06-10 15:16:57,904: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:33910/
