[rosmaster.main][INFO] 2017-06-10 20:53:31,490: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:53:31,490: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:53:31,495: XML-RPC server binding to 0.0.0.0:54111
[xmlrpc][INFO] 2017-06-10 20:53:31,498: Started XML-RPC server [http://ip-172-31-19-100:54111/]
[rosmaster.master][INFO] 2017-06-10 20:53:31,499: Master initialized: port[54111], uri[http://ip-172-31-19-100:54111/]
[xmlrpc][INFO] 2017-06-10 20:53:31,505: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:53:31,565: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:31,573: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51164] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:31,675: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:31,679: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:31,706: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:31,711: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:31,717: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:31,727: +SUB [/rosout] /rosout http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:31,923: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,928: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,932: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,942: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,949: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,954: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,959: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,964: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,971: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,982: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,990: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:55911/
[rosmaster.master][INFO] 2017-06-10 20:53:31,995: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:33,464: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__36287] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,471: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,475: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,479: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,482: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,486: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,489: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,492: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,496: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:33,499: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:53:34,024: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,028: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,033: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,046: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,056: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,067: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,078: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,090: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,094: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,099: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32867/
[rosmaster.master][INFO] 2017-06-10 20:53:34,136: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:53279/
[rosmaster.master][INFO] 2017-06-10 20:53:34,147: +PUB [/rosout] /rosapi http://ip-172-31-19-100:59373/
[rosmaster.master][INFO] 2017-06-10 20:53:34,168: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:59373/
