[rosmaster.main][INFO] 2017-06-10 01:12:25,755: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:12:25,756: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:12:25,760: XML-RPC server binding to 0.0.0.0:55339
[xmlrpc][INFO] 2017-06-10 01:12:25,764: Started XML-RPC server [http://ip-172-31-19-100:55339/]
[rosmaster.master][INFO] 2017-06-10 01:12:25,764: Master initialized: port[55339], uri[http://ip-172-31-19-100:55339/]
[xmlrpc][INFO] 2017-06-10 01:12:25,767: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:12:25,852: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:25,862: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43128] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:25,955: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:25,958: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:25,988: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:25,993: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:25,999: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:26,009: +SUB [/rosout] /rosout http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:26,329: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,335: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,340: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,348: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,361: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:26,362: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,369: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,375: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,379: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,383: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,392: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:26,400: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:46346/
[rosmaster.master][INFO] 2017-06-10 01:12:27,728: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35691] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,735: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,738: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,742: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,745: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,755: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,759: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,762: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,766: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:27,769: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:12:28,311: +PUB [/rosout] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,327: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,332: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,337: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,342: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,346: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,351: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,355: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,360: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,364: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,364: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50867/
[rosmaster.master][INFO] 2017-06-10 01:12:28,369: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,375: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:34374/
[rosmaster.master][INFO] 2017-06-10 01:12:28,379: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,382: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:34374/
[rosmaster.master][INFO] 2017-06-10 01:12:28,386: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,396: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:34374/
[rosmaster.master][INFO] 2017-06-10 01:12:28,400: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,405: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,408: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:34374/
[rosmaster.master][INFO] 2017-06-10 01:12:28,412: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,416: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:34374/
[rosmaster.master][INFO] 2017-06-10 01:12:28,419: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:38617/
[rosmaster.master][INFO] 2017-06-10 01:12:28,423: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:34374/
