[rosmaster.main][INFO] 2017-06-10 00:36:43,331: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:36:43,331: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:36:43,335: XML-RPC server binding to 0.0.0.0:42796
[xmlrpc][INFO] 2017-06-10 00:36:43,338: Started XML-RPC server [http://ip-172-31-26-229:42796/]
[rosmaster.master][INFO] 2017-06-10 00:36:43,339: Master initialized: port[42796], uri[http://ip-172-31-26-229:42796/]
[xmlrpc][INFO] 2017-06-10 00:36:43,342: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:36:43,439: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:43,446: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__37814] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:43,541: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:43,542: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:43,545: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:43,549: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:43,558: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:43,567: +SUB [/rosout] /rosout http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:43,892: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,897: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,901: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,911: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,918: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,922: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,926: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,930: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,935: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,935: publisherUpdate[/rosout] -> http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:43,950: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:43,957: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:35872/
[rosmaster.master][INFO] 2017-06-10 00:36:45,363: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__60087] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,370: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,373: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,377: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,380: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,383: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,387: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,390: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,394: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,397: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:45,899: +PUB [/rosout] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,903: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,908: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,913: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,917: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,922: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,927: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,931: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,935: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,939: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,939: publisherUpdate[/rosout] -> http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:45,944: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,950: publisherUpdate[/rosout] -> http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:45,958: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,965: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,969: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,973: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,977: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,980: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:45,984: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,990: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,995: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:45,999: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,003: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,008: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,013: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,017: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,021: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:50387/
[rosmaster.master][INFO] 2017-06-10 00:36:46,024: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,029: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,034: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,038: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,042: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-26-229:60192/
[rosmaster.master][INFO] 2017-06-10 00:36:46,045: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,050: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,053: publisherUpdate[/rosout] -> http://ip-172-31-26-229:34637/
[rosmaster.master][INFO] 2017-06-10 00:36:46,055: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-26-229:60192/
[rosmaster.master][INFO] 2017-06-10 00:36:46,063: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,067: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-26-229:60192/
[rosmaster.master][INFO] 2017-06-10 00:36:46,070: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,077: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:46,084: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-26-229:50669/
[rosmaster.master][INFO] 2017-06-10 00:36:47,193: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__56679] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,208: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,212: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,215: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,220: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,229: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,232: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,236: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,239: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,244: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,247: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,250: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,254: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,257: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,261: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,264: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,268: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,271: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,274: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,278: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,281: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,285: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,288: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,292: +PARAM [/robot_description_planning/joint_limits/lwr_arm_4_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,295: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,299: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,302: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,306: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,309: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,312: +PARAM [/move_group/planning_scene_monitor/publish_geometry_updates] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,316: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,319: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,323: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,326: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,335: +PARAM [/move_group/lwr_arm/projection_evaluator] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,338: +PARAM [/robot_description_planning/joint_limits/lwr_arm_1_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,342: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,346: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,349: +PARAM [/move_group/planner_configs/PRMstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,353: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,356: +PARAM [/move_group/allow_trajectory_execution] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,359: +PARAM [/move_group/lwr_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,363: +PARAM [/move_group/planner_configs/ESTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,366: +PARAM [/move_group/start_state_max_bounds_error] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,370: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/init_temperature] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,373: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,377: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,380: +PARAM [/robot_description_planning/joint_limits/lwr_arm_4_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,383: +PARAM [/move_group/planner_configs/ESTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:36:47,387: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/border_fraction] by /roslaunch
