[rosmaster.main][INFO] 2017-06-09 19:28:59,909: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 19:28:59,909: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 19:28:59,915: XML-RPC server binding to 0.0.0.0:44697
[xmlrpc][INFO] 2017-06-09 19:28:59,918: Started XML-RPC server [http://ip-172-31-19-100:44697/]
[rosmaster.master][INFO] 2017-06-09 19:28:59,918: Master initialized: port[44697], uri[http://ip-172-31-19-100:44697/]
[xmlrpc][INFO] 2017-06-09 19:28:59,921: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 19:29:00,000: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:00,008: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__58346] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:00,104: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:00,107: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:00,131: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:00,136: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:00,142: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:00,151: +SUB [/rosout] /rosout http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:00,500: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,505: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,509: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,515: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:00,517: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,527: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,534: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,539: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,544: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,549: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,564: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:00,571: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:43758/
[rosmaster.master][INFO] 2017-06-09 19:29:01,971: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__33746] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,980: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,984: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,987: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,991: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,995: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:01,998: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:02,002: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:02,005: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:02,009: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:02,564: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,568: +PUB [/rosout] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,573: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,579: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,583: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,589: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,593: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,605: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,609: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,613: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,619: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,619: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:02,622: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,628: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:02,631: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,638: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,642: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,649: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,652: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,656: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,659: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,664: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,668: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,673: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,678: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,683: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,688: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,692: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,697: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:50391/
[rosmaster.master][INFO] 2017-06-09 19:29:02,701: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,707: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,713: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,718: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,723: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,726: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:49922/
[rosmaster.master][INFO] 2017-06-09 19:29:02,730: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60270/
[rosmaster.master][INFO] 2017-06-09 19:29:02,730: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,739: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,742: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:49922/
[rosmaster.master][INFO] 2017-06-09 19:29:02,746: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:02,752: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:49922/
[rosmaster.master][INFO] 2017-06-09 19:29:02,756: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:50396/
[rosmaster.master][INFO] 2017-06-09 19:29:04,283: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43633] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,298: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,302: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,306: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,309: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,320: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:29:04,324: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
