[rosmaster.main][INFO] 2017-06-10 00:43:58,762: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:43:58,763: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:43:58,767: XML-RPC server binding to 0.0.0.0:58338
[xmlrpc][INFO] 2017-06-10 00:43:58,771: Started XML-RPC server [http://ip-172-31-26-229:58338/]
[rosmaster.master][INFO] 2017-06-10 00:43:58,771: Master initialized: port[58338], uri[http://ip-172-31-26-229:58338/]
[xmlrpc][INFO] 2017-06-10 00:43:58,775: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:43:58,878: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:43:58,886: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__34418] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:43:58,984: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:43:58,985: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:43248/
[rosmaster.master][INFO] 2017-06-10 00:43:58,988: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:43:58,992: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:43248/
[rosmaster.master][INFO] 2017-06-10 00:43:59,001: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:43248/
[rosmaster.master][INFO] 2017-06-10 00:43:59,011: +SUB [/rosout] /rosout http://ip-172-31-26-229:43248/
[rosmaster.master][INFO] 2017-06-10 00:43:59,268: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,272: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,277: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,284: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,292: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,296: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,300: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,304: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,308: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,317: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,323: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:47332/
[rosmaster.master][INFO] 2017-06-10 00:43:59,367: publisherUpdate[/rosout] -> http://ip-172-31-26-229:43248/
[rosmaster.master][INFO] 2017-06-10 00:44:00,730: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__38821] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,737: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,740: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,743: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,747: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,750: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,754: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,757: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,761: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:00,764: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:44:01,283: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:55132/
