[rosmaster.main][INFO] 2017-06-10 22:55:32,106: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 22:55:32,106: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 22:55:32,110: XML-RPC server binding to 0.0.0.0:50353
[xmlrpc][INFO] 2017-06-10 22:55:32,114: Started XML-RPC server [http://ip-172-31-26-229:50353/]
[rosmaster.master][INFO] 2017-06-10 22:55:32,114: Master initialized: port[50353], uri[http://ip-172-31-26-229:50353/]
[xmlrpc][INFO] 2017-06-10 22:55:32,117: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 22:55:32,236: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:32,246: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__55655] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:32,335: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:32,339: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:32,363: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:32,367: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:32,373: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:32,382: +SUB [/rosout] /rosout http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:32,642: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,649: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,653: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,663: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,670: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,674: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,678: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,682: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,686: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,695: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,702: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:51617/
[rosmaster.master][INFO] 2017-06-10 22:55:32,711: publisherUpdate[/rosout] -> http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:34,076: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__45406] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,082: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,087: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,090: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,094: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,097: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,101: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,104: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,108: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,112: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:55:34,602: +PUB [/rosout] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,614: publisherUpdate[/rosout] -> http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:34,615: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,624: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,630: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,634: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,639: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,643: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,647: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,650: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,654: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,657: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,661: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,666: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,670: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,673: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,677: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,680: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,685: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,689: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,701: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,705: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,709: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,713: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,714: publisherUpdate[/rosout] -> http://ip-172-31-26-229:35185/
[rosmaster.master][INFO] 2017-06-10 22:55:34,717: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:40552/
[rosmaster.master][INFO] 2017-06-10 22:55:34,723: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,727: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-26-229:46122/
[rosmaster.master][INFO] 2017-06-10 22:55:34,730: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,735: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:54868/
[rosmaster.master][INFO] 2017-06-10 22:55:34,740: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-26-229:46122/
