[rosmaster.main][INFO] 2017-06-10 00:29:54,556: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:29:54,557: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:29:54,561: XML-RPC server binding to 0.0.0.0:39659
[xmlrpc][INFO] 2017-06-10 00:29:54,565: Started XML-RPC server [http://ip-172-31-19-100:39659/]
[rosmaster.master][INFO] 2017-06-10 00:29:54,565: Master initialized: port[39659], uri[http://ip-172-31-19-100:39659/]
[xmlrpc][INFO] 2017-06-10 00:29:54,568: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:29:54,656: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:54,664: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56424] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:54,754: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:54,757: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:54,787: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:56953/
[rosmaster.master][INFO] 2017-06-10 00:29:54,791: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:56953/
[rosmaster.master][INFO] 2017-06-10 00:29:54,797: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:56953/
[rosmaster.master][INFO] 2017-06-10 00:29:54,806: +SUB [/rosout] /rosout http://ip-172-31-19-100:56953/
[rosmaster.master][INFO] 2017-06-10 00:29:55,175: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,180: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,184: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,191: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,197: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,202: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,205: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,210: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,214: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,222: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,229: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:49350/
[rosmaster.master][INFO] 2017-06-10 00:29:55,262: publisherUpdate[/rosout] -> http://ip-172-31-19-100:56953/
[rosmaster.master][INFO] 2017-06-10 00:29:56,576: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44148] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,583: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,586: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,590: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,594: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,598: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,602: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,605: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,609: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:56,612: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:29:57,097: +PUB [/rosout] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,111: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,116: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,121: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,125: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,130: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,134: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,138: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,143: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,148: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:56772/
[rosmaster.master][INFO] 2017-06-10 00:29:57,152: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:56772/
