[rosmaster.main][INFO] 2017-06-09 19:07:54,932: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 19:07:54,933: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 19:07:54,940: XML-RPC server binding to 0.0.0.0:49670
[xmlrpc][INFO] 2017-06-09 19:07:54,944: Started XML-RPC server [http://ip-172-31-19-100:49670/]
[rosmaster.master][INFO] 2017-06-09 19:07:54,944: Master initialized: port[49670], uri[http://ip-172-31-19-100:49670/]
[xmlrpc][INFO] 2017-06-09 19:07:54,947: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 19:07:55,023: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:07:55,032: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__50424] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:07:55,130: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:07:55,135: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 19:07:55,152: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:48298/
[rosmaster.master][INFO] 2017-06-09 19:07:55,157: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:48298/
[rosmaster.master][INFO] 2017-06-09 19:07:55,164: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:48298/
[rosmaster.master][INFO] 2017-06-09 19:07:55,178: +SUB [/rosout] /rosout http://ip-172-31-19-100:48298/
[rosmaster.master][INFO] 2017-06-09 19:07:55,480: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,485: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,489: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,497: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,504: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,508: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,513: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,517: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,521: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,530: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,539: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:54429/
[rosmaster.master][INFO] 2017-06-09 19:07:55,542: publisherUpdate[/rosout] -> http://ip-172-31-19-100:48298/
[rosmaster.master][INFO] 2017-06-09 19:07:56,948: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__48324] by /roslaunch
