[rosmaster.main][INFO] 2017-06-10 02:10:17,474: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 02:10:17,474: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 02:10:17,491: XML-RPC server binding to 0.0.0.0:52165
[xmlrpc][INFO] 2017-06-10 02:10:17,495: Started XML-RPC server [http://ip-172-31-19-100:52165/]
[rosmaster.master][INFO] 2017-06-10 02:10:17,496: Master initialized: port[52165], uri[http://ip-172-31-19-100:52165/]
[xmlrpc][INFO] 2017-06-10 02:10:17,499: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 02:10:17,582: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:17,599: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47620] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:17,689: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:17,692: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:17,718: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:17,722: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:17,728: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:17,737: +SUB [/rosout] /rosout http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:18,045: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,049: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,053: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,061: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,067: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,072: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,076: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,079: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,083: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,092: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:18,092: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:18,099: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:60822/
[rosmaster.master][INFO] 2017-06-10 02:10:19,499: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44358] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,507: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,511: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,514: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,518: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,529: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,532: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,536: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,539: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:19,542: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:10:20,094: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,096: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55929/
[rosmaster.master][INFO] 2017-06-10 02:10:20,098: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,106: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,116: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,124: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,132: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,141: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:50213/
[rosmaster.master][INFO] 2017-06-10 02:10:20,145: +PUB [/rosout] /rosapi http://ip-172-31-19-100:48861/
