[rosmaster.main][INFO] 2017-06-10 20:04:03,208: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:04:03,209: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:04:03,215: XML-RPC server binding to 0.0.0.0:52295
[xmlrpc][INFO] 2017-06-10 20:04:03,219: Started XML-RPC server [http://ip-172-31-19-100:52295/]
[xmlrpc][INFO] 2017-06-10 20:04:03,223: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:04:03,220: Master initialized: port[52295], uri[http://ip-172-31-19-100:52295/]
[rosmaster.master][INFO] 2017-06-10 20:04:03,272: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:03,282: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__54610] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:03,399: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:03,402: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:03,425: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:03,432: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:03,443: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:03,457: +SUB [/rosout] /rosout http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:03,700: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,707: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,711: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,716: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:03,727: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,737: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,742: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,746: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,750: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,755: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,767: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:03,779: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:46851/
[rosmaster.master][INFO] 2017-06-10 20:04:05,204: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43006] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,216: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,220: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,223: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,226: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,232: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,236: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,239: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,243: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,247: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:04:05,784: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,789: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,793: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,803: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,821: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:05,821: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,837: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,849: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,861: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,865: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:05,907: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:53658/
[rosmaster.master][INFO] 2017-06-10 20:04:06,116: +PUB [/rosout] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,121: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42585/
[rosmaster.master][INFO] 2017-06-10 20:04:06,134: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,141: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,151: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,156: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,162: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,169: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:41265/
[rosmaster.master][INFO] 2017-06-10 20:04:06,175: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:41265/
