[rosmaster.main][INFO] 2017-06-10 23:03:28,860: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 23:03:28,861: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 23:03:28,865: XML-RPC server binding to 0.0.0.0:39980
[xmlrpc][INFO] 2017-06-10 23:03:28,869: Started XML-RPC server [http://ip-172-31-19-100:39980/]
[rosmaster.master][INFO] 2017-06-10 23:03:28,870: Master initialized: port[39980], uri[http://ip-172-31-19-100:39980/]
[xmlrpc][INFO] 2017-06-10 23:03:28,873: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 23:03:28,947: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:28,956: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37999] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:29,060: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:29,064: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:29,088: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:29,092: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:29,099: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:29,109: +SUB [/rosout] /rosout http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:29,345: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,349: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,353: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,362: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,365: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:29,371: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,376: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,380: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,384: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,389: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,399: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:29,407: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:50182/
[rosmaster.master][INFO] 2017-06-10 23:03:30,883: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44546] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,891: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,895: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,899: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,903: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,907: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,911: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,915: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,919: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:30,923: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:03:31,542: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,547: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,552: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,568: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,572: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:31,583: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,592: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,612: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,623: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,627: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,667: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:48081/
[rosmaster.master][INFO] 2017-06-10 23:03:31,757: +PUB [/rosout] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,771: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,772: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37008/
[rosmaster.master][INFO] 2017-06-10 23:03:31,776: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,783: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,788: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,792: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,804: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,808: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,813: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,821: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,826: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,832: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,836: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:43750/
[rosmaster.master][INFO] 2017-06-10 23:03:31,840: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,845: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,850: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:51695/
[rosmaster.master][INFO] 2017-06-10 23:03:31,854: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:43750/
[rosmaster.master][INFO] 2017-06-10 23:03:31,858: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:51695/
