[rosmaster.main][INFO] 2017-06-10 01:56:33,172: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:56:33,172: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:56:33,176: XML-RPC server binding to 0.0.0.0:40615
[xmlrpc][INFO] 2017-06-10 01:56:33,180: Started XML-RPC server [http://ip-172-31-19-100:40615/]
[rosmaster.master][INFO] 2017-06-10 01:56:33,180: Master initialized: port[40615], uri[http://ip-172-31-19-100:40615/]
[xmlrpc][INFO] 2017-06-10 01:56:33,183: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:56:33,279: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:33,287: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__46636] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:33,370: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:33,373: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:33,395: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:33,400: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:33,405: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:33,413: +SUB [/rosout] /rosout http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:33,746: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,750: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,754: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,761: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,768: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,772: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,776: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,777: publisherUpdate[/rosout] -> http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:33,780: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,787: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,795: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:33,801: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:32896/
[rosmaster.master][INFO] 2017-06-10 01:56:35,181: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__55737] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,188: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,191: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,195: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,198: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,201: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,205: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,208: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,211: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,215: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:56:35,676: +PUB [/rosout] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,680: publisherUpdate[/rosout] -> http://ip-172-31-19-100:41850/
[rosmaster.master][INFO] 2017-06-10 01:56:35,690: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,695: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,699: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,704: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,708: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,713: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,717: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,721: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:58056/
[rosmaster.master][INFO] 2017-06-10 01:56:35,726: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:58056/
