[rosmaster.main][INFO] 2017-06-10 00:59:19,691: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:59:19,692: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:59:19,696: XML-RPC server binding to 0.0.0.0:40737
[xmlrpc][INFO] 2017-06-10 00:59:19,699: Started XML-RPC server [http://ip-172-31-26-229:40737/]
[rosmaster.master][INFO] 2017-06-10 00:59:19,700: Master initialized: port[40737], uri[http://ip-172-31-26-229:40737/]
[xmlrpc][INFO] 2017-06-10 00:59:19,703: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:59:19,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:19,786: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__39997] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:19,882: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:19,885: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:19,914: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:19,918: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:19,924: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:19,933: +SUB [/rosout] /rosout http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:20,252: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,257: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,260: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,268: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,275: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,279: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,283: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,287: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,291: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,297: publisherUpdate[/rosout] -> http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:20,301: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:20,311: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:33437/
[rosmaster.master][INFO] 2017-06-10 00:59:21,680: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__36095] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,687: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,698: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,701: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,705: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,708: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,711: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,715: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,718: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:21,722: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:59:22,239: +PUB [/rosout] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,253: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,257: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,262: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,267: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,271: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,277: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,282: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,286: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,291: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,296: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,300: publisherUpdate[/rosout] -> http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:22,301: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:33160/
[rosmaster.master][INFO] 2017-06-10 00:59:22,304: publisherUpdate[/rosout] -> http://ip-172-31-26-229:57719/
[rosmaster.master][INFO] 2017-06-10 00:59:22,307: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:43819/
[rosmaster.master][INFO] 2017-06-10 00:59:22,314: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:33160/
