[rosmaster.main][INFO] 2017-06-09 18:25:40,456: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:25:40,456: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:25:40,461: XML-RPC server binding to 0.0.0.0:36288
[xmlrpc][INFO] 2017-06-09 18:25:40,464: Started XML-RPC server [http://ip-172-31-19-100:36288/]
[rosmaster.master][INFO] 2017-06-09 18:25:40,465: Master initialized: port[36288], uri[http://ip-172-31-19-100:36288/]
[xmlrpc][INFO] 2017-06-09 18:25:40,468: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:25:40,545: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:40,553: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37388] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:40,647: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:40,650: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:40,679: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:40,683: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:40,689: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:40,698: +SUB [/rosout] /rosout http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:41,032: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,037: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,042: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,058: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,061: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:41,065: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,071: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,075: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,079: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,084: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,094: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:41,102: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:33641/
[rosmaster.master][INFO] 2017-06-09 18:25:42,474: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45582] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,481: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,484: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,489: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,492: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,496: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,499: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,502: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,506: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:42,509: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:25:43,060: +PUB [/rosout] /rosapi http://ip-172-31-19-100:38134/
[rosmaster.master][INFO] 2017-06-09 18:25:43,065: publisherUpdate[/rosout] -> http://ip-172-31-19-100:42857/
[rosmaster.master][INFO] 2017-06-09 18:25:43,074: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:38134/
[rosmaster.master][INFO] 2017-06-09 18:25:43,078: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:38134/
[rosmaster.master][INFO] 2017-06-09 18:25:43,083: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:38134/
