[rosmaster.main][INFO] 2017-06-09 23:40:51,776: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 23:40:51,777: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 23:40:51,781: XML-RPC server binding to 0.0.0.0:60180
[xmlrpc][INFO] 2017-06-09 23:40:51,784: Started XML-RPC server [http://ip-172-31-19-100:60180/]
[rosmaster.master][INFO] 2017-06-09 23:40:51,785: Master initialized: port[60180], uri[http://ip-172-31-19-100:60180/]
[xmlrpc][INFO] 2017-06-09 23:40:51,788: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 23:40:51,879: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:51,887: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__43491] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:51,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:51,980: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:52,004: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:35430/
[rosmaster.master][INFO] 2017-06-09 23:40:52,015: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:35430/
[rosmaster.master][INFO] 2017-06-09 23:40:52,021: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:35430/
[rosmaster.master][INFO] 2017-06-09 23:40:52,029: +SUB [/rosout] /rosout http://ip-172-31-19-100:35430/
[rosmaster.master][INFO] 2017-06-09 23:40:52,389: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,394: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,398: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,405: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,412: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,416: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,421: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,425: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,429: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,438: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,445: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:60732/
[rosmaster.master][INFO] 2017-06-09 23:40:52,482: publisherUpdate[/rosout] -> http://ip-172-31-19-100:35430/
[rosmaster.master][INFO] 2017-06-09 23:40:53,855: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37839] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,862: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,866: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,869: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,872: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,876: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,879: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,883: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,887: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:53,890: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 23:40:54,403: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,408: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,412: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,416: +PUB [/rosout] /rosapi http://ip-172-31-19-100:55552/
[rosmaster.master][INFO] 2017-06-09 23:40:54,421: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,429: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,433: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:55552/
[rosmaster.master][INFO] 2017-06-09 23:40:54,438: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:43383/
[rosmaster.master][INFO] 2017-06-09 23:40:54,441: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:55552/
