[rosmaster.main][INFO] 2017-06-09 18:18:53,259: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:18:53,259: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:18:53,266: XML-RPC server binding to 0.0.0.0:32860
[xmlrpc][INFO] 2017-06-09 18:18:53,270: Started XML-RPC server [http://ip-172-31-26-229:32860/]
[rosmaster.master][INFO] 2017-06-09 18:18:53,270: Master initialized: port[32860], uri[http://ip-172-31-26-229:32860/]
[xmlrpc][INFO] 2017-06-09 18:18:53,273: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:18:53,351: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:18:53,359: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__44047] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:18:53,453: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:18:53,456: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:18:53,485: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:60631/
[rosmaster.master][INFO] 2017-06-09 18:18:53,489: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:60631/
[rosmaster.master][INFO] 2017-06-09 18:18:53,495: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:60631/
[rosmaster.master][INFO] 2017-06-09 18:18:53,504: +SUB [/rosout] /rosout http://ip-172-31-26-229:60631/
[rosmaster.master][INFO] 2017-06-09 18:18:53,864: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,867: publisherUpdate[/rosout] -> http://ip-172-31-26-229:60631/
[rosmaster.master][INFO] 2017-06-09 18:18:53,868: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,876: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,884: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,891: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,895: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:41466/
[rosmaster.master][INFO] 2017-06-09 18:18:53,899: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:41466/
