[rosmaster.main][INFO] 2017-06-10 00:38:27,062: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:38:27,062: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:38:27,066: XML-RPC server binding to 0.0.0.0:39746
[xmlrpc][INFO] 2017-06-10 00:38:27,070: Started XML-RPC server [http://ip-172-31-19-100:39746/]
[rosmaster.master][INFO] 2017-06-10 00:38:27,070: Master initialized: port[39746], uri[http://ip-172-31-19-100:39746/]
[xmlrpc][INFO] 2017-06-10 00:38:27,073: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:38:27,163: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:38:27,170: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47358] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:38:27,257: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:38:27,261: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:38:27,289: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:57903/
[rosmaster.master][INFO] 2017-06-10 00:38:27,294: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:57903/
[rosmaster.master][INFO] 2017-06-10 00:38:27,299: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:57903/
[rosmaster.master][INFO] 2017-06-10 00:38:27,308: +SUB [/rosout] /rosout http://ip-172-31-19-100:57903/
[rosmaster.master][INFO] 2017-06-10 00:38:27,661: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,666: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,667: publisherUpdate[/rosout] -> http://ip-172-31-19-100:57903/
[rosmaster.master][INFO] 2017-06-10 00:38:27,670: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,682: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,689: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,696: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,700: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:35326/
[rosmaster.master][INFO] 2017-06-10 00:38:27,704: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:35326/
