[rosmaster.main][INFO] 2017-06-10 23:11:54,746: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 23:11:54,746: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 23:11:54,751: XML-RPC server binding to 0.0.0.0:37945
[xmlrpc][INFO] 2017-06-10 23:11:54,754: Started XML-RPC server [http://ip-172-31-19-100:37945/]
[rosmaster.master][INFO] 2017-06-10 23:11:54,755: Master initialized: port[37945], uri[http://ip-172-31-19-100:37945/]
[xmlrpc][INFO] 2017-06-10 23:11:54,758: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 23:11:54,821: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:11:54,830: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__46905] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:11:54,939: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:11:54,943: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:11:54,955: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37634/
[rosmaster.master][INFO] 2017-06-10 23:11:54,959: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37634/
[rosmaster.master][INFO] 2017-06-10 23:11:54,966: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37634/
[rosmaster.master][INFO] 2017-06-10 23:11:54,977: +SUB [/rosout] /rosout http://ip-172-31-19-100:37634/
[rosmaster.master][INFO] 2017-06-10 23:11:55,153: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,158: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,162: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,171: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,179: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,184: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,188: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,192: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,196: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,208: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,216: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:58142/
[rosmaster.master][INFO] 2017-06-10 23:11:55,251: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37634/
[rosmaster.master][INFO] 2017-06-10 23:11:56,701: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56108] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 23:11:56,708: +PARAM [/rosbridge_websocket/port] by /roslaunch
