[rosmaster.main][INFO] 2017-06-10 16:31:24,987: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 16:31:24,987: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 16:31:24,992: XML-RPC server binding to 0.0.0.0:51274
[xmlrpc][INFO] 2017-06-10 16:31:24,995: Started XML-RPC server [http://ip-172-31-19-100:51274/]
[rosmaster.master][INFO] 2017-06-10 16:31:24,996: Master initialized: port[51274], uri[http://ip-172-31-19-100:51274/]
[xmlrpc][INFO] 2017-06-10 16:31:24,999: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 16:31:25,044: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:25,052: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51067] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:25,152: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:25,156: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:25,175: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:25,182: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:25,188: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:25,206: +SUB [/rosout] /rosout http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:25,428: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,433: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,437: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,447: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,455: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,462: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,466: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,472: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,477: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,486: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:25,492: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:25,494: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:55923/
[rosmaster.master][INFO] 2017-06-10 16:31:27,012: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45718] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,020: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,024: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,037: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,040: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,044: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,047: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,051: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,054: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,058: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:27,510: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,515: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,522: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,534: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,550: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,562: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,575: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,593: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,596: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:27,602: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,646: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:34347/
[rosmaster.master][INFO] 2017-06-10 16:31:27,829: +PUB [/rosout] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,842: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,847: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,852: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,857: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,863: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,870: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,882: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,887: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,892: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,897: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:27,904: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,914: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,918: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,923: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,929: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,934: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,940: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,945: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,950: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:56769/
[rosmaster.master][INFO] 2017-06-10 16:31:27,954: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,960: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,965: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,972: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:56769/
[rosmaster.master][INFO] 2017-06-10 16:31:27,977: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,982: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:56769/
[rosmaster.master][INFO] 2017-06-10 16:31:27,986: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,993: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:27,998: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:28,005: publisherUpdate[/rosout] -> http://ip-172-31-19-100:32921/
[rosmaster.master][INFO] 2017-06-10 16:31:28,012: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:47359/
[rosmaster.master][INFO] 2017-06-10 16:31:29,836: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__36648] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,859: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,863: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,866: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,871: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,875: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,880: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,883: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,887: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,891: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,895: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,898: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,901: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,905: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,910: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,913: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,916: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,921: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,924: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,928: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,931: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,935: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,938: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,942: +PARAM [/robot_description_planning/joint_limits/lwr_arm_4_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 16:31:29,948: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_velocity] by /roslaunch
