[rosmaster.main][INFO] 2017-06-10 01:22:22,310: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:22:22,310: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:22:22,314: XML-RPC server binding to 0.0.0.0:55235
[xmlrpc][INFO] 2017-06-10 01:22:22,318: Started XML-RPC server [http://ip-172-31-26-229:55235/]
[rosmaster.master][INFO] 2017-06-10 01:22:22,318: Master initialized: port[55235], uri[http://ip-172-31-26-229:55235/]
[xmlrpc][INFO] 2017-06-10 01:22:22,321: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:22:22,394: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:22,402: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__33951] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:22,501: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:22,504: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:22,533: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:22,538: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:22,544: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:22,553: +SUB [/rosout] /rosout http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:22,846: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,850: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,854: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,862: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,870: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,874: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,879: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,883: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,887: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,895: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,902: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:54324/
[rosmaster.master][INFO] 2017-06-10 01:22:22,915: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:24,456: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__54429] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,463: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,466: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,470: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,473: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,476: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,480: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,483: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,487: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,490: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:22:24,912: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,917: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,920: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:24,922: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,934: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,944: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,956: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,966: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,975: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:24,981: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:25,020: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:33435/
[rosmaster.master][INFO] 2017-06-10 01:22:25,073: +PUB [/rosout] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,087: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,091: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,096: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,101: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,107: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,111: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,115: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,120: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,120: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42905/
[rosmaster.master][INFO] 2017-06-10 01:22:25,124: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,131: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,136: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,140: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,145: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,150: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,155: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,159: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,164: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,168: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,172: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,177: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,182: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,186: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,191: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,197: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,201: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-26-229:34324/
[rosmaster.master][INFO] 2017-06-10 01:22:25,212: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-26-229:42911/
[rosmaster.master][INFO] 2017-06-10 01:22:25,225: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-26-229:42911/
