[rosmaster.main][INFO] 2017-06-10 02:12:28,923: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 02:12:28,923: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 02:12:28,935: XML-RPC server binding to 0.0.0.0:51639
[xmlrpc][INFO] 2017-06-10 02:12:28,939: Started XML-RPC server [http://ip-172-31-26-229:51639/]
[rosmaster.master][INFO] 2017-06-10 02:12:28,939: Master initialized: port[51639], uri[http://ip-172-31-26-229:51639/]
[xmlrpc][INFO] 2017-06-10 02:12:28,943: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 02:12:29,017: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:29,025: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__33822] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:29,121: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:29,125: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:29,155: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:29,160: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:29,166: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:29,175: +SUB [/rosout] /rosout http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:29,481: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,486: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,490: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,498: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,506: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,510: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,514: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,518: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,522: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,532: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:29,536: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:29,539: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:34891/
[rosmaster.master][INFO] 2017-06-10 02:12:30,918: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__53729] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,925: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,928: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,932: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,938: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,942: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,945: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,949: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,952: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:30,956: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:31,532: +PUB [/rosout] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,539: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:31,549: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,553: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,558: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,562: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,566: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,569: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,573: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,579: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,582: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,587: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,592: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,596: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,599: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,604: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,608: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,613: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,617: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,622: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,625: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,629: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,633: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,637: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,640: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:31,642: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,651: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,656: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,660: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,665: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,670: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,674: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-26-229:44881/
[rosmaster.master][INFO] 2017-06-10 02:12:31,678: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,683: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,687: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,694: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,699: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,703: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-26-229:47386/
[rosmaster.master][INFO] 2017-06-10 02:12:31,766: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-26-229:55264/
[rosmaster.master][INFO] 2017-06-10 02:12:31,779: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-26-229:55264/
[rosmaster.master][INFO] 2017-06-10 02:12:31,784: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-26-229:55264/
[rosmaster.master][INFO] 2017-06-10 02:12:31,844: publisherUpdate[/rosout] -> http://ip-172-31-26-229:42289/
[rosmaster.master][INFO] 2017-06-10 02:12:33,394: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__41633] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,409: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,413: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,416: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,420: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,423: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 02:12:33,426: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
