[rosmaster.main][INFO] 2017-06-10 15:55:41,257: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 15:55:41,257: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 15:55:41,263: XML-RPC server binding to 0.0.0.0:36505
[xmlrpc][INFO] 2017-06-10 15:55:41,267: Started XML-RPC server [http://ip-172-31-19-100:36505/]
[xmlrpc][INFO] 2017-06-10 15:55:41,271: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 15:55:41,267: Master initialized: port[36505], uri[http://ip-172-31-19-100:36505/]
[rosmaster.master][INFO] 2017-06-10 15:55:41,322: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:41,331: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__49952] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:41,438: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:41,443: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:41,462: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:41,466: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:41,474: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:41,483: +SUB [/rosout] /rosout http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:41,724: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,729: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,735: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,744: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,752: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,756: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,760: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,763: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:41,765: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,774: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,785: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:41,793: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:41820/
[rosmaster.master][INFO] 2017-06-10 15:55:43,237: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__53592] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,254: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,257: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,262: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,265: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,269: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,273: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,277: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,280: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,284: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 15:55:43,867: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,868: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:43,876: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,884: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,905: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,915: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,925: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,937: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,947: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,953: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:43,966: +PUB [/rosout] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:43,967: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60044/
[rosmaster.master][INFO] 2017-06-10 15:55:43,980: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:43,985: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:43,990: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:43,994: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:52075/
[rosmaster.master][INFO] 2017-06-10 15:55:44,005: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,010: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,016: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,023: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,030: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,034: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,039: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,044: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,049: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,054: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,059: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,065: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,070: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,075: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,083: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,087: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,093: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:34676/
[rosmaster.master][INFO] 2017-06-10 15:55:44,097: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:34676/
