[rosmaster.main][INFO] 2017-06-10 22:58:08,848: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 22:58:08,848: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 22:58:08,852: XML-RPC server binding to 0.0.0.0:52840
[xmlrpc][INFO] 2017-06-10 22:58:08,856: Started XML-RPC server [http://ip-172-31-19-100:52840/]
[rosmaster.master][INFO] 2017-06-10 22:58:08,856: Master initialized: port[52840], uri[http://ip-172-31-19-100:52840/]
[xmlrpc][INFO] 2017-06-10 22:58:08,859: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 22:58:08,943: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:08,951: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__41935] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:09,043: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:09,047: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:09,068: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:09,074: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:09,080: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:09,089: +SUB [/rosout] /rosout http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:09,372: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,377: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,380: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,389: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,397: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,401: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,405: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,410: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,414: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,422: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,429: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:35504/
[rosmaster.master][INFO] 2017-06-10 22:58:09,452: publisherUpdate[/rosout] -> http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:10,872: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__39858] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,879: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,882: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,886: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,889: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,893: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,897: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,900: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,904: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:10,907: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 22:58:11,500: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,505: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,509: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,517: +PUB [/rosout] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,528: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,533: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,538: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,543: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,547: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,557: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,557: publisherUpdate[/rosout] -> http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:11,561: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,565: publisherUpdate[/rosout] -> http://ip-172-31-19-100:38600/
[rosmaster.master][INFO] 2017-06-10 22:58:11,568: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,576: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,588: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,593: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,597: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,601: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,605: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-06-10 22:58:11,609: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,613: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,618: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,622: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:48637/
[rosmaster.master][INFO] 2017-06-10 22:58:11,627: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:48637/
