[rosmaster.main][INFO] 2017-06-09 18:41:47,610: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-09 18:41:47,611: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-09 18:41:47,616: XML-RPC server binding to 0.0.0.0:37427
[xmlrpc][INFO] 2017-06-09 18:41:47,619: Started XML-RPC server [http://ip-172-31-19-100:37427/]
[rosmaster.master][INFO] 2017-06-09 18:41:47,620: Master initialized: port[37427], uri[http://ip-172-31-19-100:37427/]
[xmlrpc][INFO] 2017-06-09 18:41:47,623: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-09 18:41:47,695: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:47,703: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__39303] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:47,798: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:47,802: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:47,823: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:47,828: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:47,835: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:47,844: +SUB [/rosout] /rosout http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:48,152: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,158: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,162: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,170: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,179: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,183: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,187: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,191: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,195: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,212: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:48,216: publisherUpdate[/rosout] -> http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:48,220: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:45726/
[rosmaster.master][INFO] 2017-06-09 18:41:49,596: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__46806] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,611: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,615: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,619: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,623: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,626: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,629: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,633: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,636: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:49,640: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-09 18:41:50,181: +PUB [/rosout] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,194: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,199: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,203: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,208: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,212: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,216: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,219: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,220: publisherUpdate[/rosout] -> http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:50,224: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,229: publisherUpdate[/rosout] -> http://ip-172-31-19-100:35796/
[rosmaster.master][INFO] 2017-06-09 18:41:50,232: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,240: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,244: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,248: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,259: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,264: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,269: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,273: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:54082/
[rosmaster.master][INFO] 2017-06-09 18:41:50,277: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:46017/
[rosmaster.master][INFO] 2017-06-09 18:41:50,281: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:54082/
