[rosmaster.main][INFO] 2017-06-10 20:13:44,273: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 20:13:44,273: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 20:13:44,277: XML-RPC server binding to 0.0.0.0:58272
[xmlrpc][INFO] 2017-06-10 20:13:44,281: Started XML-RPC server [http://ip-172-31-19-100:58272/]
[rosmaster.master][INFO] 2017-06-10 20:13:44,282: Master initialized: port[58272], uri[http://ip-172-31-19-100:58272/]
[xmlrpc][INFO] 2017-06-10 20:13:44,285: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 20:13:44,341: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:44,350: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__57403] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:44,462: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:44,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:44,485: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:44,491: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:44,499: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:44,508: +SUB [/rosout] /rosout http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:44,701: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,706: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,712: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,720: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,728: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,733: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,738: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,743: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,756: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,767: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,775: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:37087/
[rosmaster.master][INFO] 2017-06-10 20:13:44,778: publisherUpdate[/rosout] -> http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:46,247: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60872] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,261: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,265: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,268: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,272: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,275: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,280: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,284: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,287: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,291: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:46,859: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,864: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,868: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,883: publisherUpdate[/rosout] -> http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:46,883: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,900: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,913: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,924: +SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,934: +PUB [/control_markers/tunneled/update] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,938: +SERVICE [/control_markers/tunneled/get_init] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:46,979: -SUB [/control_markers/update_full] /interactive_marker_proxy http://ip-172-31-19-100:58835/
[rosmaster.master][INFO] 2017-06-10 20:13:47,105: +PUB [/rosout] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,123: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,128: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,133: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,137: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,142: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,147: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,152: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,157: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,162: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,167: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,172: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,177: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,181: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:59167/
[rosmaster.master][INFO] 2017-06-10 20:13:47,185: publisherUpdate[/rosout] -> http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:47,186: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,191: publisherUpdate[/rosout] -> http://ip-172-31-19-100:36213/
[rosmaster.master][INFO] 2017-06-10 20:13:47,195: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,202: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:59167/
[rosmaster.master][INFO] 2017-06-10 20:13:47,205: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,211: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:59167/
[rosmaster.master][INFO] 2017-06-10 20:13:47,217: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,227: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,235: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,242: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,247: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,252: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,257: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,262: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,266: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:47,271: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:36997/
[rosmaster.master][INFO] 2017-06-10 20:13:49,025: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__49375] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,047: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,051: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,055: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,058: +PARAM [/robot_description_kinematics/lwr_arm/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,062: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,066: +PARAM [/robot_description_planning/joint_limits/lwr_arm_5_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,070: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,074: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,078: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,082: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,086: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,089: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,092: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,097: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,100: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,104: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,107: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,111: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,115: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,119: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,122: +PARAM [/robot_description_planning/joint_limits/lwr_arm_2_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,126: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,130: +PARAM [/robot_description_planning/joint_limits/lwr_arm_4_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,136: +PARAM [/robot_description_planning/joint_limits/lwr_arm_0_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,140: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,145: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,156: +PARAM [/robot_description_planning/joint_limits/lwr_arm_6_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,159: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,163: +PARAM [/move_group/planning_scene_monitor/publish_geometry_updates] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,167: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,170: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 20:13:49,174: +PARAM [/robot_description_planning/joint_limits/lwr_arm_3_joint/has_velocity_limits] by /roslaunch
