[rosmaster.main][INFO] 2017-06-10 01:44:12,904: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 01:44:12,904: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 01:44:12,909: XML-RPC server binding to 0.0.0.0:42299
[xmlrpc][INFO] 2017-06-10 01:44:12,912: Started XML-RPC server [http://ip-172-31-19-100:42299/]
[rosmaster.master][INFO] 2017-06-10 01:44:12,913: Master initialized: port[42299], uri[http://ip-172-31-19-100:42299/]
[xmlrpc][INFO] 2017-06-10 01:44:12,916: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 01:44:13,004: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:13,012: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44167] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:13,104: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:13,107: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:13,137: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:13,141: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:13,149: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:13,158: +SUB [/rosout] /rosout http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:13,308: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,309: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:13,313: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,320: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,328: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,335: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,339: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,343: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,347: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,355: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,363: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:13,370: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:42519/
[rosmaster.master][INFO] 2017-06-10 01:44:14,719: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__57128] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,725: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,729: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,733: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,736: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,740: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,743: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,746: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,750: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:14,753: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 01:44:15,242: +PUB [/rosout] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,255: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,260: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,268: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,274: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,279: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,283: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,288: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,292: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,296: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,301: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,305: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,309: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,313: publisherUpdate[/rosout] -> http://ip-172-31-19-100:60488/
[rosmaster.master][INFO] 2017-06-10 01:44:15,314: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,321: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,325: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,329: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,334: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,338: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,343: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,347: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,350: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,354: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,357: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,361: +SERVICE [/interactive_marker_proxy/set_logger_level] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,364: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,370: +SUB [/tf] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,373: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,377: +SUB [/tf_static] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,380: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:57811/
[rosmaster.master][INFO] 2017-06-10 01:44:15,385: +SUB [/control_markers/update] /interactive_marker_proxy http://ip-172-31-19-100:53636/
[rosmaster.master][INFO] 2017-06-10 01:44:15,388: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:57811/
