[rosmaster.main][INFO] 2017-06-10 00:39:54,705: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-06-10 00:39:54,705: Starting ROS Master Node
[xmlrpc][INFO] 2017-06-10 00:39:54,710: XML-RPC server binding to 0.0.0.0:39266
[xmlrpc][INFO] 2017-06-10 00:39:54,714: Started XML-RPC server [http://ip-172-31-26-229:39266/]
[rosmaster.master][INFO] 2017-06-10 00:39:54,714: Master initialized: port[39266], uri[http://ip-172-31-26-229:39266/]
[xmlrpc][INFO] 2017-06-10 00:39:54,717: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-06-10 00:39:54,808: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:54,816: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__33313] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:54,903: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:54,904: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-26-229:59163/
[rosmaster.master][INFO] 2017-06-10 00:39:54,906: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:54,911: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-26-229:59163/
[rosmaster.master][INFO] 2017-06-10 00:39:54,920: +PUB [/rosout_agg] /rosout http://ip-172-31-26-229:59163/
[rosmaster.master][INFO] 2017-06-10 00:39:54,928: +SUB [/rosout] /rosout http://ip-172-31-26-229:59163/
[rosmaster.master][INFO] 2017-06-10 00:39:55,261: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,266: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,270: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,278: +SUB [/tf] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,285: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,289: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,293: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,297: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,302: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,310: publisherUpdate[/rosout] -> http://ip-172-31-26-229:59163/
[rosmaster.master][INFO] 2017-06-10 00:39:55,311: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:55,326: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-26-229:43304/
[rosmaster.master][INFO] 2017-06-10 00:39:56,716: +PARAM [/roslaunch/uris/host_ip_172_31_26_229__48810] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,723: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,726: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,730: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,733: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,737: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,740: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,744: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,747: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:56,750: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-06-10 00:39:57,237: +PUB [/rosout] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,252: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,257: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,262: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,267: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,271: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,275: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,282: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,287: +PUB [/rosout] /interactive_marker_proxy http://ip-172-31-26-229:39820/
[rosmaster.master][INFO] 2017-06-10 00:39:57,291: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-26-229:60267/
[rosmaster.master][INFO] 2017-06-10 00:39:57,295: +SERVICE [/interactive_marker_proxy/get_loggers] /interactive_marker_proxy http://ip-172-31-26-229:39820/
[rosmaster.master][INFO] 2017-06-10 00:39:57,298: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-26-229:60267/
