[rospy.client][INFO] 2017-06-10 15:37:10,295: init_node, name[/marker_control_21633_1497134230225], pid[21633]
[xmlrpc][INFO] 2017-06-10 15:37:10,296: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-06-10 15:37:10,299: Started XML-RPC server [http://ip-172-31-19-100:33661/]
[rospy.init][INFO] 2017-06-10 15:37:10,300: ROS Slave URI: [http://ip-172-31-19-100:33661/]
[rospy.impl.masterslave][INFO] 2017-06-10 15:37:10,304: _ready: http://ip-172-31-19-100:33661/
[rospy.registration][INFO] 2017-06-10 15:37:10,312: Registering with master node http://localhost:44614
[xmlrpc][INFO] 2017-06-10 15:37:10,312: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-06-10 15:37:10,407: registered with master
[rospy.rosout][INFO] 2017-06-10 15:37:10,411: initializing /rosout core topic
[rospy.rosout][INFO] 2017-06-10 15:37:10,423: connected to core topic /rosout
[rospy.simtime][INFO] 2017-06-10 15:37:10,428: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-06-10 15:37:10,673: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-06-10 15:37:10,704: topic[/collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 15:37:10,709: topic[/attached_collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 15:37:10,779: topic[/control_markers/update] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 15:37:11,182: topic[/control_markers/update_full] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 15:37:25,971: topic[/visualization_marker_array] adding connection to [/rosbridge_websocket], count 0
[rospy.internal][INFO] 2017-06-10 15:37:26,042: topic[/control_markers/feedback] adding connection to [http://ip-172-31-19-100:46369/], count 0
[rospy.internal][INFO] 2017-06-10 15:37:32,543: topic[/joint_trajectory] adding connection to [http://ip-172-31-19-100:37263/], count 0
[rospy.internal][INFO] 2017-06-10 15:37:33,444: topic[/motion_planning_goal] adding connection to [/move_arm_22443_1497134251948], count 0
